result,coverage,p-value,capitalRisk
1,0.0,1.8163029724828922e-07,3.3386344349790505e-05
2,0.0019251205125440853,1.5559985742747316e-08,3.337078436404776e-05
3,0.0038502410250881706,2.616136397444897e-06,3.075464796660286e-05
4,0.005775361537632256,1.6754495494825074e-06,2.9079198417120354e-05
5,0.007700482050176341,5.343223218648964e-06,2.373597519847139e-05
6,0.021938194903983507,1.8484012490056645e-05,5.251962708414744e-06
7,0.03617590775779067,4.118688029544283e-14,5.2519626672278655e-06
8,0.050413620611597834,6.745883058835617e-08,5.18450383663951e-06
9,0.064651333465405,5.169768552893097e-06,1.4735283746415836e-08
10,0.06657645397794908,4.88981270062788e-09,9.845471045786982e-09
11,0.06850157449049316,9.845471045784286e-09,0.0
