result,coverage,p-value,capitalRisk
1,0.002313208420078649,3.216179639397987e-26,0.0001502422873252198
2,0.009115559312547086,3.0909357705779564e-14,0.00015024228729431044
3,0.015917910205015522,2.086775918100814e-20,0.00015024228729431041
4,0.018231118625094172,4.146445894675553e-24,0.00015024228729431041
5,0.02054432704517282,1.2310276458165137e-08,0.00015022997701785224
6,0.02285753546525147,4.631890927452131e-11,0.00015022993069894298
7,0.02517074388533012,1.7014713614173768e-21,0.00015022993069894298
8,0.02748395230540877,6.908604839725336e-06,0.00014332132585921764
9,0.02979716072548742,1.1793918718880942e-05,0.0001315274071403367
10,0.032110369145566066,3.499258209095007e-10,0.00013152705721451578
11,0.032110369145566066,4.210280818297517e-10,0.00013152663618643396
12,0.034423577565644715,6.483033374430499e-23,0.00013152663618643396
13,0.036736785985723365,1.4413941258211417e-06,0.00013008524206061282
14,0.039049994405802015,3.608721316415103e-15,0.0001300852420570041
15,0.041363202825880664,4.7775166259856774e-23,0.0001300852420570041
16,0.043676411245959314,3.8966890638493195e-10,0.0001300848523880977
17,0.04598961966603796,4.487232417789296e-11,0.00013008480751577352
18,0.04830282808611661,1.048070099758105e-09,0.00013008375944567377
19,0.05061603650619526,1.4867041498564065e-14,0.00013008375943080673
20,0.05292924492627391,8.062803566245554e-09,0.0001300756966272405
21,0.05524245334635256,1.2388146674101259e-18,0.00013007569662723924
22,0.05755566176643121,1.96870547532722e-23,0.00013007569662723924
23,0.05986887018650986,3.0666179239304167e-07,0.0001297690348348462
24,0.06218207860658851,7.789498880211874e-05,5.187404603272746e-05
25,0.06449528702666715,5.187404603242826e-05,2.9918558949737495e-16
26,0.07129763791913558,2.991969205149821e-16,0.0
