result,coverage,p-value,capitalRisk
1,0.009115559312547086,1.3806802899245669e-80,0.10912202315206551
2,0.011428767732625736,5.759757684777282e-78,0.10912202315206551
3,0.013741976152704385,3.683109516452447e-77,0.10912202315206551
4,0.016055184572783033,7.594232914454995e-76,0.10912202315206551
5,0.016055184572783033,2.7436724373036334e-75,0.10912202315206551
6,0.018368392992861683,1.9696562417486312e-74,0.10912202315206551
7,0.018368392992861683,2.6989159179836057e-74,0.10912202315206551
8,0.020681601412940332,1.1101342835287706e-73,0.10912202315206551
9,0.02299480983301898,3.646920981976714e-73,0.10912202315206551
10,0.02299480983301898,4.023943469850111e-72,0.10912202315206551
11,0.02299480983301898,2.2306561913862925e-71,0.10912202315206551
12,0.02530801825309763,4.250136234887835e-70,0.10912202315206551
13,0.02762122667317628,6.922944393258695e-69,0.10912202315206551
14,0.02993443509325493,1.8781057118592824e-68,0.10912202315206551
15,0.02993443509325493,1.8478554656854922e-66,0.10912202315206551
16,0.032247643513333576,1.231830973655856e-65,0.10912202315206551
17,0.032247643513333576,1.944417747270072e-65,0.10912202315206551
18,0.032247643513333576,2.152585657027853e-65,0.10912202315206551
19,0.032247643513333576,2.5305934910931318e-65,0.10912202315206551
20,0.032247643513333576,5.4522108229239475e-65,0.10912202315206551
21,0.032247643513333576,6.411540612315255e-65,0.10912202315206551
22,0.032247643513333576,7.910126564311177e-65,0.10912202315206551
23,0.032247643513333576,4.973947252553392e-64,0.10912202315206551
24,0.032247643513333576,1.1432135488002005e-63,0.10912202315206551
25,0.032247643513333576,3.6457374015340836e-63,0.10912202315206551
26,0.032247643513333576,2.875797128864865e-62,0.10912202315206551
27,0.032247643513333576,3.731147817625816e-62,0.10912202315206551
28,0.032247643513333576,4.010281942782419e-62,0.10912202315206551
29,0.034560851933412226,4.0578870519620195e-62,0.10912202315206551
30,0.036874060353490876,5.439246214735619e-62,0.10912202315206551
31,0.036874060353490876,7.272792682050049e-62,0.10912202315206551
32,0.036874060353490876,7.352253581116941e-62,0.10912202315206551
33,0.036874060353490876,9.478158287868821e-62,0.10912202315206551
34,0.036874060353490876,1.7164427297028244e-61,0.10912202315206551
35,0.036874060353490876,4.0513008849157704e-61,0.10912202315206551
36,0.036874060353490876,5.657541183054653e-61,0.10912202315206551
37,0.036874060353490876,7.338207333129441e-61,0.10912202315206551
38,0.036874060353490876,9.811835860050291e-61,0.10912202315206551
39,0.036874060353490876,9.823217211785934e-61,0.10912202315206551
40,0.036874060353490876,1.4043273778325633e-60,0.10912202315206551
41,0.036874060353490876,1.6876853979772988e-60,0.10912202315206551
42,0.036874060353490876,2.5795114943639566e-60,0.10912202315206551
43,0.036874060353490876,5.171341792737242e-60,0.10912202315206551
44,0.036874060353490876,6.028312145783237e-60,0.10912202315206551
45,0.036874060353490876,6.740325925953407e-60,0.10912202315206551
46,0.036874060353490876,7.013371233862431e-60,0.10912202315206551
47,0.036874060353490876,1.3377199396925986e-59,0.10912202315206551
48,0.036874060353490876,1.4625865535477522e-59,0.10912202315206551
49,0.036874060353490876,2.0015939403464204e-59,0.10912202315206551
50,0.036874060353490876,2.058139544268537e-59,0.10912202315206551
51,0.036874060353490876,2.17289445299713e-59,0.10912202315206551
52,0.036874060353490876,2.1866558891814152e-59,0.10912202315206551
53,0.036874060353490876,2.7632954030421043e-59,0.10912202315206551
54,0.036874060353490876,7.14849402909184e-59,0.10912202315206551
55,0.036874060353490876,7.504680732745824e-59,0.10912202315206551
56,0.036874060353490876,8.286816935790703e-59,0.10912202315206551
57,0.036874060353490876,1.0242134869823053e-58,0.10912202315206551
58,0.036874060353490876,1.0342422225871398e-58,0.10912202315206551
59,0.036874060353490876,1.2302302958980333e-58,0.10912202315206551
60,0.036874060353490876,1.2332917364245032e-58,0.10912202315206551
61,0.036874060353490876,2.401660964050891e-58,0.10912202315206551
62,0.036874060353490876,2.9727503703373217e-58,0.10912202315206551
63,0.036874060353490876,3.085785820463731e-58,0.10912202315206551
64,0.036874060353490876,4.990337668013113e-58,0.10912202315206551
65,0.036874060353490876,5.2825582224105565e-58,0.10912202315206551
66,0.036874060353490876,6.41361209725332e-58,0.10912202315206551
67,0.036874060353490876,6.605485657757892e-58,0.10912202315206551
68,0.036874060353490876,8.132678966601911e-58,0.10912202315206551
69,0.036874060353490876,9.060295645277702e-58,0.10912202315206551
70,0.036874060353490876,1.0235521972080205e-57,0.10912202315206551
