result,coverage,p-value,capitalRisk
1,0.14129929188329707,1.440533672631076e-141,0.0400938081090608
2,0.20073823398168628,2.9253714964157703e-97,0.0400938081090608
3,0.3682801364631839,6.5705603590920065e-93,0.0400938081090608
4,0.3866192744692788,9.117069599720146e-62,0.0400938081090608
5,0.4250253476081556,2.801094732942012e-41,0.0400938081090608
6,0.43179065808715084,7.6469724031659e-31,0.0400938081090608
7,0.43260953386785866,7.550352804746654e-19,0.0400938081090608
8,0.4334006511475256,3.854785683333103e-18,0.04009380810906079
9,0.4341593835093114,2.4100615714186735e-16,0.040093808109060554
10,0.4355386748155652,1.1460689787920815e-15,0.0400938081090594
11,0.4362809751648828,1.0801657185522759e-14,0.040093808109048605
12,0.4389883108200852,4.1021206646264896e-14,0.04009380810900758
13,0.4389883108200852,1.9046830041977427e-13,0.04009380810881712
14,0.43908436737878637,2.592381567786525e-12,0.04009380810622473
15,0.4396765487343265,4.38667128114886e-12,0.04009380810183806
16,0.4396765487343265,4.9036467304052704e-12,0.040093808096934413
17,0.4397089336522076,6.813986347949643e-12,0.04009380809012043
18,0.44128191537786104,1.5463324395137946e-11,0.0400938080746571
19,0.44164277589139334,2.3859668322576245e-11,0.04009380805079744
20,0.44184633823236025,2.4413702592620853e-10,0.04009380780666041
21,0.44184633823236025,3.93222832573602e-10,0.04009380741343758
22,0.44205452699016734,2.0747141645900712e-09,0.040093805338723414
23,0.44205452699016734,2.129410495674951e-09,0.04009380320931292
24,0.44206840624068783,8.081864514496197e-09,0.0400937951274484
25,0.4422997270826957,9.761284410696638e-09,0.04009378536616399
26,0.4424200139205398,1.3720252958750519e-08,0.04009377164591103
27,0.44456955680255983,4.527002899662237e-08,0.04009372637588204
28,0.44456955680255983,9.942363484919252e-08,0.040093626952247184
29,0.44456955680255983,1.2013575506556847e-07,0.04009350681649212
30,0.44686875140421417,1.412689855612351e-07,0.04009336554750656
31,0.44688263065473466,1.6920653319088612e-07,0.04009319634097337
32,0.4471370835809433,1.7069947298071378e-07,0.040093025641500385
33,0.4474363870202119,2.26770034993941e-07,0.04009279887146539
34,0.4474363870202119,4.011803441468921e-07,0.040092397691121245
35,0.4474363870202119,6.707426954537403e-07,0.04009172694842579
36,0.4474363870202119,9.937804569654824e-07,0.04009073316796883
37,0.4476075644432977,1.075109576203316e-06,0.040089658058392624
38,0.4480565196022006,2.3916576472846934e-06,0.04008726640074534
39,0.4480565196022006,4.732946353359497e-06,0.04008253345439198
40,0.4482605901289747,5.007602077112067e-06,0.04007752585231487
41,0.4482605901289747,9.551369646838048e-06,0.04006797448266803
42,0.4482605901289747,1.3388870107244548e-05,0.040054585612560784
43,0.44833923921525737,1.6429208949352346e-05,0.040038156403611434
44,0.44833923921525737,1.763009886551443e-05,0.04002052630474592
45,0.44833923921525737,2.213554515363448e-05,0.03999839075959229
46,0.44844807682953686,2.6877566669184467e-05,0.0399715131929231
47,0.4491691260241385,3.628086698869844e-05,0.0399352323259344
48,0.4499854081312347,4.045179599860773e-05,0.039894780529935794
49,0.4499854081312347,5.242126638650467e-05,0.03984235926354929
50,0.4499854081312347,5.391392515154964e-05,0.03978844533839774
51,0.45025750216693344,5.455240726295792e-05,0.03973389293113478
52,0.45025750216693344,5.486754300100029e-05,0.03967902538813378
53,0.45025750216693344,6.565645766872584e-05,0.039613368930465055
54,0.45025750216693344,9.262794543981424e-05,0.03952074098502524
55,0.45025750216693344,9.592801544128588e-05,0.03942481296958396
56,0.45025750216693344,0.0001148577238979445,0.039309955245686014
57,0.45025750216693344,0.00014056302272104495,0.03916939222296496
58,0.45028988708481454,0.0001432902258489912,0.039026101997115974
59,0.45028988708481454,0.00015308871034245102,0.038873013286773526
60,0.45028988708481454,0.00015813788302258366,0.03871487540375094
61,0.45028988708481454,0.0001596680491638261,0.03855520735458712
62,0.45046702275675427,0.00017199513043314362,0.03838321222415397
63,0.45050403409147555,0.00018383520623282043,0.03819937701792115
64,0.45065207943036056,0.00021815814329413278,0.03798121887462702
65,0.4507584870176842,0.00032794568916995716,0.03765327318545706
66,0.4507584870176842,0.00033546003846912994,0.03731781314698793
67,0.4507584870176842,0.0003357290759958581,0.03698208407099207
68,0.4508972795228889,0.00034141380517359337,0.03664067026581848
69,0.4508972795228889,0.0003417479649356053,0.03629892230088287
70,0.4508972795228889,0.00040016910388254685,0.035898753197000324
71,0.4509389172744503,0.0005083118532360853,0.03539044134376424
72,0.45114298780122436,0.0006390064036629437,0.0347514349401013
73,0.45114298780122436,0.0006925390934850264,0.03405889584661627
74,0.45114298780122436,0.0007647337644393933,0.03329416208217688
75,0.45114298780122436,0.0008214759982108188,0.03247268608396606
76,0.45114298780122436,0.0008709622012439594,0.0316017238827221
77,0.4513878724333532,0.0009558481397584097,0.03064587574296369
78,0.45152391945120257,0.0009896141975474719,0.02965626154541622
79,0.45152391945120257,0.0010293190139133174,0.0286269425315029
80,0.4517143852761917,0.0010587672665894803,0.02756817526491342
81,0.4517976607793145,0.001117620171356645,0.026450555093556774
82,0.4517976607793145,0.0011415218986079731,0.025309033194948802
83,0.4517976607793145,0.0011860728635639895,0.02412296033138481
84,0.4517976607793145,0.0012804151822393079,0.022842545149145504
85,0.4519827174529208,0.001359391439867608,0.021483153709277895
86,0.4519827174529208,0.0014270305811961174,0.020056123128081776
87,0.4519827174529208,0.001493794051212392,0.018562329076869385
88,0.45200992685649066,0.0015726856533740835,0.0169896434234953
89,0.45200992685649066,0.001639744233288269,0.01534989919020703
90,0.4520507409618455,0.001730849657094865,0.013619049533112167
91,0.4520507409618455,0.0017408001343776692,0.011878249398734497
92,0.4520507409618455,0.0017808834819527282,0.010097365916781769
93,0.4521664013828494,0.0018010284554592108,0.008296337461322557
94,0.4521664013828494,0.0018655841685038385,0.006430753292818718
95,0.4521664013828494,0.002075075156178008,0.004355678136640707
96,0.4521664013828494,0.0021680187144103246,0.002187659422230384
97,0.4521936107864193,0.0021876594222303863,0.0
