result,coverage,p-value,capitalRisk
1,0.004683597641601577,8.244918399309545e-72,1.088234567213996e-06
2,0.009367195283203154,3.157574039267139e-117,1.088234567213996e-06
3,0.010207329503046116,7.260148096867135e-80,1.088234567213996e-06
4,0.011047463722889079,1.092486452739754e-77,1.088234567213996e-06
5,0.011887597942732041,9.496344678366817e-88,1.088234567213996e-06
6,0.012727732162575004,1.760523700674922e-54,1.088234567213996e-06
7,0.013567866382417967,1.0730903997082804e-43,1.088234567213996e-06
8,0.01440800060226093,1.122226302209505e-11,1.088223344950974e-06
9,0.015248134822103892,5.609127803030886e-59,1.088223344950974e-06
10,0.016088269041946855,2.219299619445656e-12,1.0882211256513545e-06
11,0.016928403261789817,2.0962161848211314e-16,1.0882211254417329e-06
12,0.01776853748163278,1.3523940343654082e-79,1.0882211254417329e-06
13,0.018608671701475742,1.2096298155716553e-42,1.0882211254417329e-06
14,0.019448805921318705,5.240338110828108e-22,1.0882211254417324e-06
15,0.020288940141161668,1.6630405744405554e-39,1.0882211254417324e-06
16,0.02112907436100463,1.87059348251481e-52,1.0882211254417324e-06
17,0.021969208580847593,2.805305976204347e-48,1.0882211254417324e-06
18,0.022809342800690555,2.2159444050226407e-56,1.0882211254417324e-06
19,0.023649477020533518,1.213238401093609e-17,1.0882211254296e-06
20,0.02448961124037648,2.866429657250898e-16,1.088221125142957e-06
21,0.025329745460219443,9.67818871122822e-07,1.204022540201351e-07
22,0.026169879680062406,3.6525755258237847e-92,1.204022540201351e-07
23,0.02701001389990537,1.2287728613197054e-135,1.204022540201351e-07
24,0.02785014811974833,6.483620696286668e-98,1.204022540201351e-07
25,0.028690282339591294,1.7487284388638923e-36,1.204022540201351e-07
26,0.029530416559434256,1.6296302439760948e-50,1.204022540201351e-07
27,0.03037055077927722,9.671317181956427e-35,1.204022540201351e-07
28,0.03121068499912018,1.4025059066211327e-41,1.204022540201351e-07
29,0.03205081921896314,1.815595862585094e-15,1.2040225220453925e-07
30,0.0328909534388061,2.82505481082794e-31,1.2040225220453925e-07
31,0.033731087658649066,4.586693707854597e-27,1.2040225220453925e-07
32,0.03457122187849203,3.8057989569243835e-58,1.2040225220453925e-07
33,0.03541135609833499,8.828270655785538e-72,1.2040225220453925e-07
34,0.036251490318177954,1.8907095309144147e-12,1.2040036149500826e-07
35,0.037091624538020916,5.336282586516045e-66,1.2040036149500826e-07
36,0.03793175875786388,2.4973687075098136e-53,1.2040036149500826e-07
37,0.03877189297770684,5.657030623580473e-79,1.2040036149500826e-07
38,0.039612027197549804,6.386931639894174e-27,1.2040036149500826e-07
39,0.04045216141739277,7.219869341853807e-23,1.2040036149500826e-07
40,0.04129229563723573,1.350243681945791e-53,1.2040036149500826e-07
41,0.04213242985707869,2.9666091447127978e-36,1.2040036149500826e-07
42,0.042972564076921654,3.5259754275340485e-18,1.2040036149148227e-07
43,0.04381269829676462,1.838563269208424e-32,1.2040036149148227e-07
44,0.04465283251660758,1.8068164740781673e-32,1.2040036149148227e-07
45,0.04549296673645054,4.3090297311090323e-17,1.20400361448392e-07
46,0.046333100956293505,5.142938209794504e-33,1.20400361448392e-07
47,0.04717323517613647,3.1838211043337627e-29,1.20400361448392e-07
48,0.04801336939597943,2.513438938735989e-31,1.20400361448392e-07
49,0.04885350361582239,1.1103488971266656e-30,1.20400361448392e-07
50,0.049693637835665355,7.271853846390509e-51,1.20400361448392e-07
51,0.05053377205550832,6.846410160633239e-44,1.20400361448392e-07
52,0.05137390627535128,1.1298272133635365e-62,1.20400361448392e-07
53,0.05221404049519424,1.7266654415878875e-70,1.20400361448392e-07
54,0.053054174715037206,3.0371204956066626e-30,1.20400361448392e-07
55,0.05389430893488017,1.1281159602614047e-38,1.20400361448392e-07
56,0.05473444315472313,7.162116028594693e-08,4.877920116244515e-08
57,0.05557457737456609,2.938409722425318e-51,4.877920116244515e-08
58,0.056414711594409056,1.4103784226889702e-36,4.877920116244515e-08
59,0.05725484581425202,2.260623993453313e-40,4.877920116244515e-08
60,0.05809498003409498,9.139544461064828e-59,4.877920116244515e-08
61,0.058935114253937944,1.1797893521290128e-36,4.877920116244515e-08
62,0.059775248473780906,5.759073661113751e-40,4.877920116244515e-08
63,0.06061538269362387,3.444067998850784e-14,4.877916672176512e-08
64,0.06145551691346683,2.2883960990604938e-42,4.877916672176512e-08
65,0.062295651133309794,1.202843342761202e-33,4.877916672176512e-08
66,0.06313578535315276,4.8779166315211535e-08,4.0655358006719874e-16
67,0.06397591957299571,4.0655356511543985e-16,0.0
68,0.06481605379283867,1.5076094257935791e-61,0.0
