,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
2229,2018-08-04 00:00:00-2018-08-11 00:00:00,57.0,12.44,456,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.7421938749737662,0.1093255101410239,True,False,0.2807126652684928,121449,45087,74,69,Trend,Promotion,mean
2239,2018-08-04 00:00:00-2018-08-11 00:00:00,57.0,12.44,456,2017-05-07 00:00:00-2017-05-11 00:00:00,294.2,104.66,1471,1.5335702792517103,0.15337914153714177,True,False,0.2807126652684928,121449,45087,74,69,Trend,Promotion,mean
2241,2018-08-04 00:00:00-2018-08-11 00:00:00,57.0,12.44,456,2017-05-20 00:00:00-2017-05-23 00:00:00,422.25,349.9,1689,1.5420447039872067,0.15409007796834623,True,False,0.12133525035848208,121449,45087,74,69,Trend,Promotion,mean
2236,2018-08-04 00:00:00-2018-08-11 00:00:00,57.0,12.44,456,2017-04-13 00:00:00-2017-04-19 00:00:00,261.14,51.28,1828,1.5043240837798346,0.1564004361719578,True,False,1.0,121449,45087,74,69,Trend,Promotion,mean
1143,2018-03-30 00:00:00-2018-04-10 00:00:00,270.17,69.34,3242,2017-09-03 00:00:00-2017-09-07 00:00:00,425.8,117.45,2129,-1.4614155270649758,0.1645331476926194,True,False,0.01141203638600166,121449,45087,74,69,Trend,Promotion,mean
1513,2018-05-11 00:00:00-2018-05-21 00:00:00,186.55,48.42,2052,2017-09-03 00:00:00-2017-09-07 00:00:00,425.8,117.45,2129,-1.3431381615285864,0.20059681665948093,True,False,0.02669060148644407,121449,45087,74,69,Trend,Promotion,mean
1136,2018-03-30 00:00:00-2018-04-10 00:00:00,270.17,69.34,3242,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.2555419879674228,0.22983368467151205,True,False,0.00375221010087385,121449,45087,74,69,Trend,Promotion,mean
1137,2018-03-30 00:00:00-2018-04-10 00:00:00,270.17,69.34,3242,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.2280473327666543,0.23718902612269516,True,False,0.030382821976577483,121449,45087,74,69,Trend,Promotion,mean
4523,2018-06-12 00:00:00-2018-06-15 00:00:00,140.0,34.88,560,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.2866863483196815,0.23911842942614842,False,False,1.0,121449,45087,74,69,Trend,Promotion,mean
477,2018-01-26 00:00:00-2018-01-29 00:00:00,301.0,92.13,1204,2017-09-03 00:00:00-2017-09-07 00:00:00,425.8,117.45,2129,-1.2836056217661616,0.2401350075717188,False,False,1.0,121449,45087,74,69,Trend,Promotion,mean
