,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
736,2018-01-01 00:00:00-2018-07-19 00:00:00,10.0,4.97,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,32.38676979140972,5.587513464165283e-127,False,False,1.1414939763737194e-27,121449,45087,61,23,Window_2000,Promotion,mean
1285,2018-01-01 00:00:00-2018-09-29 00:00:00,7.35,3.88,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,30.535533663438137,7.672103107520742e-124,False,False,6.719178735223086e-08,121449,45087,61,23,Window_2000,Promotion,mean
740,2018-01-01 00:00:00-2018-07-19 00:00:00,10.0,4.97,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,31.586007977878978,3.2273159642660436e-123,False,False,2.3667807356501756e-25,121449,45087,61,23,Window_2000,Promotion,mean
1289,2018-01-01 00:00:00-2018-09-29 00:00:00,7.35,3.88,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,29.66534599523858,2.4793235452176944e-119,False,False,2.1094396375576003e-06,121449,45087,61,23,Window_2000,Promotion,mean
858,2018-01-01 00:00:00-2018-08-07 00:00:00,9.13,4.71,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,30.380060747733392,4.8979209218052736e-119,False,False,7.987703642484884e-22,121449,45087,61,23,Window_2000,Promotion,mean
553,2018-01-01 00:00:00-2018-06-26 00:00:00,11.3,5.23,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,30.80537674659274,1.6235041679925623e-117,False,False,2.1463042540642035e-35,121449,45087,61,23,Window_2000,Promotion,mean
614,2018-01-01 00:00:00-2018-07-04 00:00:00,10.81,4.59,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,30.61657259856899,2.417290658183353e-117,False,False,1.2704739432034043e-32,121449,45087,61,23,Window_2000,Promotion,mean
797,2018-01-01 00:00:00-2018-07-28 00:00:00,9.57,4.93,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,30.178792104405634,2.9174999740729713e-117,False,False,7.656272245443935e-25,121449,45087,61,23,Window_2000,Promotion,mean
919,2018-01-01 00:00:00-2018-08-15 00:00:00,8.81,4.24,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,24.02,2000,29.747167758260492,1.5309508868290632e-116,False,False,1.1876513398769286e-20,121449,45087,61,23,Window_2000,Promotion,mean
862,2018-01-01 00:00:00-2018-08-07 00:00:00,9.13,4.71,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,29.458794883110222,1.6004861771088268e-114,False,False,1.1620454921289852e-19,121449,45087,61,23,Window_2000,Promotion,mean
618,2018-01-01 00:00:00-2018-07-04 00:00:00,10.81,4.59,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,29.818757422961227,1.3344298769730186e-113,False,False,3.369126703963911e-30,121449,45087,61,23,Window_2000,Promotion,mean
557,2018-01-01 00:00:00-2018-06-26 00:00:00,11.3,5.23,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,29.94644883228503,1.5550598749755478e-113,False,False,6.43078369376165e-33,121449,45087,61,23,Window_2000,Promotion,mean
801,2018-01-01 00:00:00-2018-07-28 00:00:00,9.57,4.93,2000,2017-01-01 00:00:00-2017-11-20 00:00:00,6.17,15.43,2000,29.24401262623379,1.0008319003541364e-112,False,False,1.3515805976984002e-22,121449,45087,61,23,Window_2000,Promotion,mean
