,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
32,2017-01-14 00:00:00-2018-07-11 00:00:00,18.38,22.77,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,16.946968432711646,1.2574754603472875e-57,False,False,0.3822112514244651,79262,81680,8,9,Window_10000,Trend,mean
24,2017-01-14 00:00:00-2018-06-19 00:00:00,19.16,23.78,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,16.521359946384305,4.972295576027701e-55,False,False,0.16125407235484265,79262,81680,8,9,Window_10000,Trend,mean
48,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,21.62,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,16.128908827965944,5.0522392448739245e-53,False,False,1.0,79262,81680,8,9,Window_10000,Trend,mean
40,2017-01-14 00:00:00-2018-08-09 00:00:00,17.45,22.32,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,15.721560868511993,1.138553602977781e-50,False,False,0.8161194285401236,79262,81680,8,9,Window_10000,Trend,mean
8,2017-01-14 00:00:00-2018-07-09 00:00:00,18.45,24.94,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,15.425349878745633,6.833041814281614e-49,False,False,0.1289351096048778,79262,81680,8,9,Window_10000,Trend,mean
56,2017-01-14 00:00:00-2018-09-27 00:00:00,16.08,21.33,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,15.153745544953061,1.187428768542102e-47,False,False,0.5303223354568201,79262,81680,8,9,Window_10000,Trend,mean
16,2017-01-14 00:00:00-2018-05-27 00:00:00,20.04,26.06,10000,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,15.052106351637724,1.1124646707645148e-46,False,False,0.02230900290074897,79262,81680,8,9,Window_10000,Trend,mean
3,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-06-12 00:00:00,18.94,24.74,10000,-14.585767827730548,3.3252021790557527e-44,False,False,0.26104100422100374,79262,81680,8,9,Window_10000,Trend,mean
64,2017-01-14 00:00:00-2018-09-27 00:00:00,2.7,3.83,1680,2017-01-01 00:00:00-2018-08-21 00:00:00,16.72,43.3,10000,14.226038975273712,1.3329781526809167e-42,False,False,0.6479420616623996,79262,81680,8,9,Window_10000,Trend,mean
4,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-07-14 00:00:00,17.86,23.43,10000,-14.071011320139798,1.4076292819527924e-41,False,False,0.5159088148552189,79262,81680,8,9,Window_10000,Trend,mean
6,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-09-06 00:00:00,16.29,22.03,10000,-13.579043289369551,3.702736480894068e-39,False,False,0.3582766033722472,79262,81680,8,9,Window_10000,Trend,mean
5,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-08-14 00:00:00,16.92,23.0,10000,-13.30833300522029,9.899577371052943e-38,False,False,0.770185208769592,79262,81680,8,9,Window_10000,Trend,mean
1,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-07-01 00:00:00,18.28,25.64,10000,-13.267569775364846,1.9731988669128443e-37,False,False,0.3753001121546927,79262,81680,8,9,Window_10000,Trend,mean
2,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-05-16 00:00:00,19.96,27.02,10000,-13.069281820543832,2.418000435139996e-36,False,False,0.19283427942911013,79262,81680,8,9,Window_10000,Trend,mean
7,2017-01-14 00:00:00-2018-08-16 00:00:00,17.24,44.5,10000,2017-01-01 00:00:00-2018-09-30 00:00:00,14.52,19.91,9262,-12.878998807924045,1.1297643961248507e-35,False,False,0.14221388222700715,79262,81680,8,9,Window_10000,Trend,mean
39,2017-01-14 00:00:00-2018-07-11 00:00:00,18.38,22.77,10000,2017-01-01 00:00:00-2018-09-30 00:00:00,14.52,19.91,9262,7.72262947757057,2.4210162605128922e-14,False,False,0.0417067606831592,79262,81680,8,9,Window_10000,Trend,mean
