,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
3071,2017-08-16,2017-08-30,6756,6756,2015-04-12,2015-04-26,14765,14765,-13.137537828919955,2.0064986955020744e-39,True,True,1.0,309133,412480,60,117,Trend,Promotion,mean
2771,2017-05-28,2017-07-18,17250,17250,2015-04-12,2015-04-26,14765,14765,-8.764186082878096,1.881308661293317e-18,False,True,3.0601483859415633e-13,309133,412480,60,117,Trend,Promotion,mean
11,2016-01-01,2016-02-04,30366,30366,2015-04-12,2015-04-26,14765,14765,-7.582792516061368,3.381954635068728e-14,False,True,9.990668790934986e-07,309133,412480,60,117,Trend,Promotion,mean
731,2016-04-17,2016-07-15,81869,81869,2015-04-12,2015-04-26,14765,14765,-6.382813632169116,1.7386345330685764e-10,False,True,7.308541644961444e-29,309133,412480,60,117,Trend,Promotion,mean
2591,2017-04-09,2017-05-03,8857,8857,2015-04-12,2015-04-26,14765,14765,-5.4470379622278715,5.1215535508047616e-08,False,True,0.0028806230700067375,309133,412480,60,117,Trend,Promotion,mean
2785,2017-05-28,2017-07-18,17250,17250,2015-08-07,2015-08-10,4444,4444,-4.752902598809,2.0051695966416797e-06,False,False,2.854627805608825e-20,309133,412480,60,117,Trend,Promotion,mean
2769,2017-05-28,2017-07-18,17250,17250,2015-03-28,2015-04-03,7564,7564,-4.571708300877675,4.837640646240094e-06,False,False,4.34864489491953e-18,309133,412480,60,117,Trend,Promotion,mean
2775,2017-05-28,2017-07-18,17250,17250,2015-05-09,2015-05-12,3741,3741,-4.334450299667172,1.4612479552628588e-05,False,False,2.854627805608825e-20,309133,412480,60,117,Trend,Promotion,mean
2774,2017-05-28,2017-07-18,17250,17250,2015-05-06,2015-05-08,3254,3254,-4.258713964624592,2.056063597593471e-05,False,False,4.716630807351853e-21,309133,412480,60,117,Trend,Promotion,mean
2779,2017-05-28,2017-07-18,17250,17250,2015-06-12,2015-06-14,2340,2340,-4.242081869955459,2.2145587200745163e-05,False,False,4.716630807351853e-21,309133,412480,60,117,Trend,Promotion,mean
2807,2017-05-28,2017-07-18,17250,17250,2015-06-13,2015-06-15,2477,2477,-4.227055301164415,2.3676949222680558e-05,False,False,4.716630807351853e-21,309133,412480,60,117,Trend,Promotion,mean
2787,2017-05-28,2017-07-18,17250,17250,2015-08-19,2015-08-21,2759,2759,-4.219333505985787,2.4502559149900694e-05,False,False,4.716630807351853e-21,309133,412480,60,117,Trend,Promotion,mean
2804,2017-05-28,2017-07-18,17250,17250,2015-05-20,2015-05-22,2143,2143,-4.1631177766303065,3.139313331687901e-05,False,False,4.716630807351853e-21,309133,412480,60,117,Trend,Promotion,mean
25,2016-01-01,2016-02-04,30366,30366,2015-08-07,2015-08-10,4444,4444,-4.141670792675359,3.4478498651872626e-05,False,False,6.814384306973417e-13,309133,412480,60,117,Trend,Promotion,mean
