,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
2545,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-18,5000,5000,41.00704854475437,2.6887244147836865e-220,False,False,6.6220236112164135e-62,595143,130091,120,27,Window_5000,Promotion,mean
1465,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-18,5000,5000,39.64240397589153,6.568040702084889e-211,False,False,6.6220236112164135e-62,595143,130091,120,27,Window_5000,Promotion,mean
2561,2017-01-01,2018-01-01,5000,5000,2015-01-03,2016-11-20,5000,5000,38.681132186051016,2.540526917545661e-204,False,False,0.08444244352243949,595143,130091,120,27,Window_5000,Promotion,mean
2546,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-20,5000,5000,38.2509972363222,2.137104476015117e-201,False,False,5.488317201502049e-23,595143,130091,120,27,Window_5000,Promotion,mean
2636,2017-01-01,2018-01-01,5000,5000,2015-01-08,2016-11-20,5000,5000,38.104848352910864,5.281859448115683e-200,False,False,0.14384348724486193,595143,130091,120,27,Window_5000,Promotion,mean
1705,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-18,5000,5000,37.349005011735954,5.443355226173895e-195,False,False,6.6220236112164135e-62,595143,130091,120,27,Window_5000,Promotion,mean
1481,2017-01-01,2018-01-01,5000,5000,2015-01-03,2016-11-20,5000,5000,37.32202607226642,7.319555793702015e-195,False,False,0.08444244352243949,595143,130091,120,27,Window_5000,Promotion,mean
1345,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-18,5000,5000,37.05176615482841,6.459351678991208e-193,False,False,6.6220236112164135e-62,595143,130091,120,27,Window_5000,Promotion,mean
2620,2017-01-01,2018-01-01,5000,5000,2015-01-01,2016-11-20,5000,5000,36.99449508447457,1.0847652125947212e-192,False,False,1.1488858196466867e-81,595143,130091,120,27,Window_5000,Promotion,mean
1466,2017-01-01,2018-01-01,5000,5000,2015-01-02,2016-11-20,5000,5000,36.88826515896193,6.8607076352380554e-192,False,False,5.488317201502049e-23,595143,130091,120,27,Window_5000,Promotion,mean
