result,coverage,p-value,capitalRisk
1,0.018231118625094172,5.97604302841043e-38,2.5320697511356746e-05
2,0.02285753546525147,1.3607473461051744e-32,2.5320697511356746e-05
3,0.02748395230540877,5.114690949377388e-67,2.5320697511356746e-05
4,0.032110369145566066,4.325122665452103e-35,2.5320697511356746e-05
5,0.036736785985723365,2.508376653557118e-32,2.5320697511356746e-05
6,0.041363202825880664,1.4297979149538196e-31,2.5320697511356746e-05
7,0.04598961966603796,6.269408220731744e-54,2.5320697511356746e-05
8,0.05959432145097484,7.784669679150412e-12,2.5320689726687068e-05
9,0.07319902323591171,2.532068972640796e-05,2.79107520515659e-16
10,0.07782544007606901,2.791061827936359e-16,0.0
