result,coverage,p-value,capitalRisk
1,0.17239964016366277,6.5705603590920065e-93,0.00023987419632432117
2,0.3088411943647947,1.440533672631076e-141,0.00023987419632432117
3,0.36828013646318386,2.9253714964157703e-97,0.00023987419632432117
4,0.40668620960206064,2.801094732942012e-41,0.00023987419632432117
5,0.4250253476081556,9.117069599720146e-62,0.00023987419632432117
6,0.4312447409000123,3.854785683333103e-18,0.00023987419632431732
7,0.43281772262566576,1.5463324395137946e-11,0.0002398741808609929
8,0.4341547570924712,7.6469724031659e-31,0.0002398741808609929
9,0.4368620927476736,4.1021206646264896e-14,0.0002398741808199717
10,0.43768096852838145,7.550352804746654e-19,0.00023987418081997095
11,0.4403410236435681,9.937804569654824e-07,0.00023888040036300546
12,0.4410997560053539,2.4100615714186735e-16,0.00023888040036276447
13,0.4422153415517187,2.3859668322576245e-11,0.00023888037650309613
14,0.4424790473116077,5.242126638650467e-05,0.00018645911011659148
15,0.4432352269114458,1.075109576203316e-06,0.00018538400054038815
16,0.4433925250840111,1.3388870107244548e-05,0.0001719951304331436
17,0.44355578150543035,0.00017199513043314362,0.0
