result,coverage,p-value,capitalRisk
1,0.03884922564489301,3.981692466083745e-39,0.00010249674954775854
2,0.05951538955347263,2.5667201099406284e-56,0.00010249674954775854
3,0.07337933513170392,8.44457143036309e-56,0.00010249674954775854
4,0.0819915800296631,1.4549116566994472e-35,0.00010249674954775854
5,0.09827729431537738,2.0322409314878676e-91,0.00010249674954775854
6,0.10015593244155152,4.080224313084597e-67,0.00010249674954775854
7,0.10169215869251166,3.1475822424418813e-88,0.00010249674954775854
8,0.10536202982817268,1.623823476031236e-06,0.0001008729260717273
9,0.10830217725225516,1.918597396846881e-12,0.00010087292415312991
10,0.10830217725225516,3.086576614269853e-20,0.00010087292415312987
11,0.10878340475255593,2.796148543859079e-34,0.00010087292415312987
12,0.10910730787775838,5.348406347072473e-13,0.00010087292361828924
13,0.10982839631313253,1.0698685232041166e-13,0.00010087292351130239
14,0.11045424665326858,9.949446635235806e-07,9.987797884777881e-05
15,0.11068581529060718,3.8624754228026844e-05,6.125322461975196e-05
16,0.11076744794366841,6.125322461975196e-05,0.0
