result,coverage,p-value,capitalRisk
1,0.14129929188329707,1.440533672631076e-141,0.0037948858081779226
2,0.20073823398168628,2.9253714964157703e-97,0.0037948858081779226
3,0.3682801364631839,6.5705603590920065e-93,0.0037948858081779226
4,0.3866192744692788,9.117069599720146e-62,0.0037948858081779226
5,0.4250253476081556,2.801094732942012e-41,0.0037948858081779226
6,0.43179065808715084,7.6469724031659e-31,0.0037948858081779226
7,0.43260953386785866,7.550352804746654e-19,0.0037948858081779217
8,0.4334006511475256,3.854785683333103e-18,0.003794885808177918
9,0.4341593835093114,2.4100615714186735e-16,0.003794885808177677
10,0.4355386748155652,1.1460689787920815e-15,0.003794885808176531
11,0.4362809751648828,1.0801657185522759e-14,0.0037948858081657292
12,0.4389883108200852,4.1021206646264896e-14,0.0037948858081247082
13,0.4389883108200852,1.9046830041977427e-13,0.00379488580793424
14,0.43908436737878637,2.592381567786525e-12,0.0037948858053418583
15,0.4396765487343265,4.38667128114886e-12,0.0037948858009551867
16,0.4396765487343265,4.9036467304052704e-12,0.0037948857960515402
17,0.4397089336522076,6.813986347949643e-12,0.003794885789237554
18,0.44128191537786104,1.5463324395137946e-11,0.0037948857737742296
19,0.44164277589139334,2.3859668322576245e-11,0.003794885749914561
20,0.44184633823236025,2.4413702592620853e-10,0.0037948855057775353
21,0.44184633823236025,3.93222832573602e-10,0.0037948851125547025
22,0.44205452699016734,2.0747141645900712e-09,0.003794883037840538
23,0.44205452699016734,2.129410495674951e-09,0.003794880908430042
24,0.44206840624068783,8.081864514496197e-09,0.0037948728265655277
25,0.4422997270826957,9.761284410696638e-09,0.003794863065281117
26,0.4424200139205398,1.3720252958750519e-08,0.0037948493450281583
27,0.44456955680255983,4.527002899662237e-08,0.003794804074999162
28,0.44456955680255983,9.942363484919252e-08,0.0037947046513643126
29,0.44456955680255983,1.2013575506556847e-07,0.003794584515609247
30,0.44686875140421417,1.412689855612351e-07,0.0037944432466236857
31,0.44688263065473466,1.6920653319088612e-07,0.003794274040090495
32,0.4471370835809433,1.7069947298071378e-07,0.0037941033406175143
33,0.4474363870202119,2.26770034993941e-07,0.0037938765705825203
34,0.4474363870202119,4.011803441468921e-07,0.0037934753902383734
35,0.4474363870202119,6.707426954537403e-07,0.0037928046475429198
36,0.4474363870202119,9.937804569654824e-07,0.0037918108670859543
37,0.4476075644432977,1.075109576203316e-06,0.0037907357575097506
38,0.4480565196022006,2.3916576472846934e-06,0.0037883440998624663
39,0.4480565196022006,4.732946353359497e-06,0.0037836111535091066
40,0.4482605901289747,5.007602077112067e-06,0.0037786035514319944
41,0.4482605901289747,9.551369646838048e-06,0.0037690521817851565
42,0.4482605901289747,1.3388870107244548e-05,0.003755663311677912
43,0.44833923921525737,1.6429208949352346e-05,0.0037392341027285597
44,0.44833923921525737,1.763009886551443e-05,0.003721604003863045
45,0.44833923921525737,2.213554515363448e-05,0.0036994684587094108
46,0.44844807682953686,2.6877566669184467e-05,0.0036725908920402263
47,0.4491691260241385,3.628086698869844e-05,0.003636310025051528
48,0.4499854081312347,4.045179599860773e-05,0.0035958582290529202
49,0.4499854081312347,5.242126638650467e-05,0.0035434369626664154
50,0.4499854081312347,5.391392515154964e-05,0.003489523037514866
51,0.45025750216693344,5.455240726295792e-05,0.003434970630251908
52,0.45025750216693344,5.486754300100029e-05,0.0033801030872509076
53,0.45025750216693344,6.565645766872584e-05,0.003314446629582182
54,0.45025750216693344,9.262794543981424e-05,0.0032218186841423673
55,0.45025750216693344,9.592801544128588e-05,0.0031258906687010816
56,0.45025750216693344,0.0001148577238979445,0.003011032944803137
57,0.45025750216693344,0.00014056302272104495,0.002870469922082092
58,0.45028988708481454,0.0001432902258489912,0.0027271796962331013
59,0.45028988708481454,0.00015308871034245102,0.0025740909858906497
60,0.45028988708481454,0.00015813788302258366,0.0024159531028680663
61,0.45028988708481454,0.0001596680491638261,0.00225628505370424
62,0.45046702275675427,0.00017199513043314362,0.0020842899232710963
63,0.45050403409147555,0.00018383520623282043,0.0019004547170382762
64,0.45065207943036056,0.00021815814329413278,0.0016822965737441436
65,0.4507584870176842,0.00032794568916995716,0.0013543508845741863
66,0.4507584870176842,0.00033546003846912994,0.0010188908461050564
67,0.4507584870176842,0.0003357290759958581,0.0006831617701091985
68,0.4508972795228889,0.00034141380517359337,0.00034174796493560526
69,0.4508972795228889,0.0003417479649356053,0.0
