result,coverage,p-value,capitalRisk
1,0.6733097726918146,7.219909397333722e-157,4.368924491102722e-08
2,0.8036643354745932,4.9505261473238266e-135,4.368924491102722e-08
3,0.8630181588783145,1.8730453725968685e-34,4.368924491102722e-08
4,0.8906092076434158,4.368924491102722e-08,0.0
5,0.9085306706642879,1.3730088656041402e-116,0.0
6,0.9220497758121299,1.1680881090526892e-206,0.0
7,0.9331675948474097,1.2425125552300852e-230,0.0
8,0.9432340032966808,1.8675553792001626e-267,0.0
9,0.94866742187341,0.0,0.0
10,0.9536361848040644,0.0,0.0
11,0.9585947727935639,0.0,0.0
12,0.9603245127899009,0.0,0.0
13,0.9618982370218625,0.0,0.0
14,0.9627970234905474,0.0,0.0
15,0.963614410429993,0.0,0.0
16,0.9643368312519925,0.0,0.0
17,0.9649575026624428,0.0,0.0
18,0.9653543253674849,0.0,0.0
19,0.9656900984255974,0.0,0.0
20,0.9659648218367803,0.0,0.0
21,0.9661751039539821,0.0,0.0
22,0.9663752111300289,0.0,0.0
23,0.9665651433649208,0.0,0.0
24,0.9667415090116062,0.0,0.0
25,0.9669178746582915,0.0,0.0
26,0.9670942403049768,0.0,0.0
27,0.9672604310105072,0.0,0.0
28,0.9674028801866761,0.0,0.0
29,0.9675351544216901,0.0,0.0
30,0.9676572537155492,0.0,0.0
31,0.9677691780682534,0.0,0.0
32,0.9678437943033895,0.0,0.0
33,0.9679048439503191,0.0,0.0
34,0.9679489353619904,0.0,0.0
35,0.9679930267736618,0.0,0.0
36,0.9680337265382816,0.0,0.0
37,0.9680710346558496,0.0,0.0
38,0.9680981678322628,0.0,0.0
39,0.9681219093616242,0.0,0.0
40,0.968142259243934,0.0,0.0
41,0.9681626091262439,0.0,0.0
42,0.9681829590085537,0.0,0.0
43,0.9681999172438118,0.0,0.0
44,0.9682134838320184,0.0,0.0
45,0.9682236587731734,0.0,0.0
46,0.9682338337143284,0.0,0.0
47,0.9682440086554833,0.0,0.0
48,0.9682507919495866,0.0,0.0
