result,coverage,p-value,capitalRisk
1,0.5001119243527041,0.0,4.368924491102722e-08
2,0.5001865405878403,0.0,4.368924491102722e-08
3,0.5019162805841774,0.0,4.368924491102722e-08
4,0.5019569803487971,0.0,4.368924491102722e-08
5,0.5019637636429004,0.0,4.368924491102722e-08
6,0.5021062128190693,0.0,4.368924491102722e-08
7,0.5021299543484308,0.0,4.368924491102722e-08
8,0.5022622285834448,0.0,4.368924491102722e-08
9,0.5024385942301302,0.0,4.368924491102722e-08
10,0.5024521608183368,0.0,4.368924491102722e-08
11,0.5040258850502983,0.0,4.368924491102722e-08
12,0.5048432719897439,0.0,4.368924491102722e-08
13,0.504880580107312,0.0,4.368924491102722e-08
14,0.5050569457539973,0.0,4.368924491102722e-08
15,0.5053316691651802,0.0,4.368924491102722e-08
16,0.5059523405756305,0.0,4.368924491102722e-08
17,0.506288113633743,0.0,4.368924491102722e-08
18,0.5112568765643974,0.0,4.368924491102722e-08
19,0.511979297386397,0.0,4.368924491102722e-08
20,0.5128780838550819,0.0,4.368924491102722e-08
21,0.5129391335020115,0.0,4.368924491102722e-08
22,0.5183725520787407,0.0,4.368924491102722e-08
23,0.5183929019610505,0.0,4.368924491102722e-08
24,0.5185692676077358,0.0,4.368924491102722e-08
25,0.5185896174900456,0.0,4.368924491102722e-08
26,0.518633708901717,0.0,4.368924491102722e-08
27,0.5235922968912164,0.0,4.368924491102722e-08
28,0.5236363883028878,0.0,4.368924491102722e-08
29,0.5240332110079299,0.0,4.368924491102722e-08
30,0.5242434931251316,0.0,4.368924491102722e-08
31,0.5242706263015448,0.0,4.368924491102722e-08
32,0.5242808012426997,0.0,4.368924491102722e-08
33,0.5244809084187465,0.0,4.368924491102722e-08
34,0.5246708406536384,0.0,4.368924491102722e-08
35,0.5246877988888966,0.0,4.368924491102722e-08
36,0.5248098981827557,0.0,4.368924491102722e-08
37,0.5248302480650655,0.0,4.368924491102722e-08
38,0.5249964387705959,0.0,4.368924491102722e-08
39,0.5250066137117508,0.0,4.368924491102722e-08
40,0.5250167886529058,0.0,4.368924491102722e-08
41,0.5350831971021769,1.8675553792001626e-267,4.368924491102722e-08
42,0.5462010161374568,1.2425125552300852e-230,4.368924491102722e-08
43,0.5597201212852987,1.1680881090526892e-206,4.368924491102722e-08
44,0.7330298939771133,7.219909397333722e-157,4.368924491102722e-08
45,0.8633844567598918,4.9505261473238266e-135,4.368924491102722e-08
46,0.881305919780764,1.3730088656041402e-116,4.368924491102722e-08
47,0.9406597431844853,1.8730453725968685e-34,4.368924491102722e-08
48,0.9682507919495866,4.368924491102722e-08,0.0
