result,coverage,p-value,capitalRisk
1,0.0038502410250881706,1.0045585342232435e-07,0.00014156192943789647
2,0.03617590775779067,1.3421286124251701e-11,0.00014156191601661034
3,0.04002614878287884,4.089901500772101e-09,0.00014155782611510956
4,0.043876389807967014,1.53848101907293e-09,0.0001415562876340905
5,0.047726630833055186,4.778226031589224e-07,0.00014107846503093156
6,0.05157687185814336,1.3222607314981083e-06,0.00013975620429943346
7,0.05542711288323153,0.00012996173441653933,9.794469882894131e-06
8,0.0592773539083197,8.396081444533372e-08,9.710509068448786e-06
9,0.08775277961593403,9.533151668380678e-06,1.7735740006811314e-07
10,0.0916030206410222,1.7735740006812523e-07,0.0
