result,coverage,p-value,capitalRisk
1,0.01616283336635125,2.923161838357763e-23,0.041863894983767955
2,0.0323256667327025,1.8233510405055216e-21,0.041863894983767955
3,0.04848850009905375,4.0443051357879966e-20,0.041863894983767955
4,0.04848850009905375,2.0758414184182423e-18,0.041863894983767955
5,0.04848850009905375,2.1569403734738367e-18,0.04186389498376795
6,0.050413620611597834,7.705940331516374e-18,0.04186389498376794
7,0.06657645397794909,2.2869550768049365e-17,0.04186389498376792
8,0.06657645397794909,3.317026787131112e-17,0.041863894983767885
9,0.06850157449049317,4.992333863979925e-17,0.04186389498376784
10,0.08466440785684441,5.638042652250608e-17,0.04186389498376778
11,0.08658952836938849,7.028237165939467e-17,0.04186389498376771
12,0.08851464888193257,7.494851064178189e-17,0.041863894983767636
13,0.09043976939447665,3.9573220488421437e-16,0.04186389498376724
14,0.10467748224828381,6.2498400734636285e-16,0.041863894983766615
15,0.10660260276082789,6.375343482334676e-16,0.04186389498376598
16,0.10660260276082789,7.380898330991326e-16,0.04186389498376524
17,0.10852772327337197,8.486535826162933e-16,0.04186389498376439
18,0.12276543612717913,3.5598661480375175e-15,0.04186389498376083
19,0.12276543612717913,3.641330547835162e-15,0.041863894983757186
20,0.12276543612717913,4.182730501850155e-15,0.04186389498375301
21,0.12276543612717913,4.226386371522673e-15,0.04186389498374878
22,0.12276543612717913,4.708087723198738e-15,0.04186389498374407
23,0.12469055663972321,4.9444831094626655e-15,0.04186389498373913
24,0.12469055663972321,5.516853376214161e-15,0.04186389498373361
25,0.12469055663972321,5.7738698965640375e-15,0.041863894983727834
26,0.13892826949353038,7.451587741289395e-15,0.04186389498372038
27,0.13892826949353038,8.817621592523982e-15,0.04186389498371157
28,0.13892826949353038,9.799728629027091e-15,0.041863894983701765
29,0.13892826949353038,1.0362371191503733e-14,0.041863894983691405
30,0.13892826949353038,1.152424211471937e-14,0.04186389498367988
31,0.13892826949353038,1.1911100359923426e-14,0.04186389498366797
32,0.13892826949353038,1.1936669202876593e-14,0.04186389498365603
33,0.13892826949353038,1.432371524845145e-14,0.04186389498364171
34,0.13892826949353038,1.5793353082866762e-14,0.041863894983625916
35,0.15316598234733755,1.6899543887031252e-14,0.04186389498360902
36,0.15316598234733755,3.1552733818548514e-14,0.04186389498357746
37,0.15509110285988165,3.604756623200906e-14,0.041863894983541414
38,0.15701622337242574,4.097942903510187e-14,0.04186389498350044
39,0.15701622337242574,4.118688029544283e-14,0.04186389498345925
40,0.15701622337242574,4.7492257889212096e-14,0.04186389498341176
41,0.15701622337242574,5.576075912822429e-14,0.041863894983356
42,0.15701622337242574,6.208765086244402e-14,0.04186389498329391
43,0.15701622337242574,7.297020259109257e-14,0.04186389498322094
44,0.15701622337242574,8.788598186463832e-14,0.04186389498313305
45,0.15701622337242574,1.0993070895232931e-13,0.04186389498302312
46,0.15701622337242574,1.3299238630081234e-13,0.04186389498289013
47,0.15894134388496983,1.460009147144308e-13,0.04186389498274413
48,0.15894134388496983,1.7464689966671053e-13,0.04186389498256948
49,0.15894134388496983,1.7774955746357394e-13,0.041863894982391736
50,0.15894134388496983,1.9222192447413249e-13,0.04186389498219951
51,0.15894134388496983,2.0581823581474392e-13,0.04186389498199369
52,0.15894134388496983,2.1398859420431525e-13,0.041863894981779705
53,0.15894134388496983,2.2125112974805096e-13,0.04186389498155845
54,0.15894134388496983,2.277942110024388e-13,0.04186389498133066
55,0.15894134388496983,3.5978407351732297e-13,0.04186389498097087
56,0.16086646439751393,3.7886263169375525e-13,0.04186389498059201
57,0.16086646439751393,4.293115439788984e-13,0.0418638949801627
58,0.16086646439751393,4.5304735872293794e-13,0.04186389497970965
59,0.1751041772513211,4.639932671656362e-13,0.04186389497924566
60,0.1751041772513211,6.465837975450873e-13,0.041863894978599075
61,0.1751041772513211,6.933434842957694e-13,0.041863894977905734
62,0.1751041772513211,7.468764967704124e-13,0.04186389497715885
