,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1527,2017-02-28 00:00:00-2019-12-30 00:00:00,57.3,27.04,59364,2017-04-06 00:00:00-2019-11-26 00:00:00,0.02,0.17,22,58.286986183749576,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2207,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-07-02 00:00:00-2019-07-26 00:00:00,0.03,0.34,21,64.88523132058472,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
1532,2017-02-28 00:00:00-2019-12-30 00:00:00,57.3,27.04,59364,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,64.71987294000255,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
1529,2017-02-28 00:00:00-2019-12-30 00:00:00,57.3,27.04,59364,2018-02-28 00:00:00-2019-07-16 00:00:00,0.01,0.1,5,50.87831643842129,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
1523,2017-02-28 00:00:00-2019-12-30 00:00:00,57.3,27.04,59364,2017-03-16 00:00:00-2019-11-04 00:00:00,0.02,0.16,19,59.63258129142853,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2204,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-07-15 00:00:00-2019-09-24 00:00:00,0.08,0.83,65,67.35766265065543,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2194,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2018-03-13 00:00:00-2019-07-12 00:00:00,0.01,0.08,3,56.26478944457009,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
1526,2017-02-28 00:00:00-2019-12-30 00:00:00,57.3,27.04,59364,2017-07-02 00:00:00-2019-07-04 00:00:00,0.01,0.08,5,57.987520150364396,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2191,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,55.80742498582943,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2188,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,67.30938617108869,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2183,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-04-06 00:00:00-2019-11-26 00:00:00,0.02,0.17,22,59.51889504893617,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
2182,2017-02-28 00:00:00-2019-12-30 00:00:00,71.63,32.12,74204,2017-07-02 00:00:00-2019-07-04 00:00:00,0.01,0.08,5,59.06427930621875,0.0,False,False,0.0,29663,220545,41,61,Demographics,Demographics,mean,0.0
