,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
4,2017-03-05 00:00:00-2019-12-29 00:00:00,14.99,39.95,15443,2019-05-12 00:00:00-2019-12-29 00:00:00,2.53,6.99,588,1.6566462970945084,0.0983223925773202,False,False,2.053244208073606e-17,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
100,2017-11-12 00:00:00-2017-12-10 00:00:00,19.69,44.68,571,2019-05-12 00:00:00-2019-12-29 00:00:00,2.53,6.99,588,1.5295959274201119,0.13685492570311084,False,False,2.8024527008808696e-06,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
196,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2019-05-12 00:00:00-2019-12-29 00:00:00,2.53,6.99,588,1.488406109225267,0.1511035626879364,False,False,9.118725767208523e-07,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
96,2017-11-12 00:00:00-2017-12-10 00:00:00,19.69,44.68,571,2017-03-05 00:00:00-2018-07-08 00:00:00,2.3,6.57,1128,1.4309134359331543,0.16321161955841318,False,False,4.617380404030907e-14,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
99,2017-11-12 00:00:00-2017-12-10 00:00:00,19.69,44.68,571,2018-11-04 00:00:00-2019-04-28 00:00:00,2.07,6.07,365,1.4114121154641974,0.1682740412337459,False,False,0.00028683701097682,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
292,2019-04-07 00:00:00-2019-04-28 00:00:00,17.59,38.53,387,2019-05-12 00:00:00-2019-12-29 00:00:00,2.53,6.99,588,1.4218099244016142,0.16929941781479896,False,False,9.118725767208523e-07,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
192,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2017-03-05 00:00:00-2018-07-08 00:00:00,2.3,6.57,1128,1.4089672605969115,0.173222056386913,False,False,1.2313352971882444e-14,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
195,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2018-11-04 00:00:00-2019-04-28 00:00:00,2.07,6.07,365,1.3967192973396825,0.17635167622590459,False,False,0.00010573193376984482,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
288,2019-04-07 00:00:00-2019-04-28 00:00:00,17.59,38.53,387,2017-03-05 00:00:00-2018-07-08 00:00:00,2.3,6.57,1128,1.33612268177284,0.19551403124096725,False,False,1.2313352971882444e-14,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
172,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2019-05-12 00:00:00-2019-12-29 00:00:00,2.53,6.99,588,1.349307113461391,0.19830293600635285,False,False,2.729729861119641e-07,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
