,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
2132,2017-03-10 00:00:00-2019-10-25 00:00:00,1.04,1.42,1000,2017-03-05 00:00:00-2019-12-30 00:00:00,0.97,3.2,1000,16.41551241875773,2.0892178520039963e-55,False,False,2.8542178086372024e-45,29663,220545,30,221,Window_1000,Demographics,mean
2141,2017-03-10 00:00:00-2019-10-25 00:00:00,1.04,1.42,1000,2017-03-09 00:00:00-2019-12-16 00:00:00,0.99,2.17,1000,16.23956048222697,7.713056431573315e-54,False,False,1.5102738815478304e-07,29663,220545,30,221,Window_1000,Demographics,mean
2157,2017-03-10 00:00:00-2019-10-25 00:00:00,1.04,1.42,1000,2017-03-10 00:00:00-2019-12-28 00:00:00,0.98,2.34,1000,16.14591880245698,1.9389578103277432e-53,False,False,3.5091608803109026e-07,29663,220545,30,221,Window_1000,Demographics,mean
3637,2017-03-05 00:00:00-2019-12-30 00:00:00,0.97,1.85,1000,2017-03-10 00:00:00-2019-12-30 00:00:00,0.97,1.41,1000,-16.113911261761718,4.1534049253674023e-53,False,False,0.35386283495452897,29663,220545,30,221,Window_1000,Demographics,mean
1147,2017-03-04 00:00:00-2019-12-26 00:00:00,0.97,2.77,1000,2017-03-10 00:00:00-2019-12-30 00:00:00,0.97,1.41,1000,-15.998121929320753,5.825365450111024e-53,False,False,4.5222420317243267e-42,29663,220545,30,221,Window_1000,Demographics,mean
2072,2017-03-07 00:00:00-2019-12-26 00:00:00,0.98,1.39,1000,2017-03-05 00:00:00-2019-12-30 00:00:00,0.97,3.2,1000,15.831560186620754,2.5317619976680882e-52,False,False,5.349500020348532e-44,29663,220545,30,221,Window_1000,Demographics,mean
2131,2017-03-10 00:00:00-2019-10-25 00:00:00,1.04,1.42,1000,2017-03-19 00:00:00-2019-12-26 00:00:00,0.99,3.38,1000,15.72141515485262,1.410454786246169e-51,False,False,2.0196745829828033e-59,29663,220545,30,221,Window_1000,Demographics,mean
2081,2017-03-07 00:00:00-2019-12-26 00:00:00,0.98,1.39,1000,2017-03-09 00:00:00-2019-12-16 00:00:00,0.99,2.17,1000,15.653972390699813,7.843115201116516e-51,False,False,5.479003411429183e-07,29663,220545,30,221,Window_1000,Demographics,mean
1802,2017-03-04 00:00:00-2019-10-24 00:00:00,1.04,1.41,1000,2017-03-05 00:00:00-2019-12-30 00:00:00,0.97,3.2,1000,15.560414980634135,1.1208104197639052e-50,False,False,1.46583383762034e-46,29663,220545,30,221,Window_1000,Demographics,mean
2097,2017-03-07 00:00:00-2019-12-26 00:00:00,0.98,1.39,1000,2017-03-10 00:00:00-2019-12-28 00:00:00,0.98,2.34,1000,15.55362126713701,2.223528257392746e-50,False,False,1.1030144633816456e-06,29663,220545,30,221,Window_1000,Demographics,mean
3842,2017-03-07 00:00:00-2019-10-27 00:00:00,1.04,1.43,1000,2017-03-05 00:00:00-2019-12-30 00:00:00,0.97,3.2,1000,15.361947741458183,1.718065678716572e-49,False,False,1.7133738250766196e-42,29663,220545,30,221,Window_1000,Demographics,mean
