,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
0,2017-02-28 00:00:00-2019-12-30 00:00:00,1.93,[6],2000,[10],[10],[10],1,-121.6902837905159,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
41,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[15],[15],[15],1,-159.08838324539718,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
42,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[20],[20],[20],1,-220.02089366874603,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
30,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[51],2000,[10],[10],[10],1,-98.25266738046716,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
222,2017-03-05 00:00:00-2019-12-30 00:00:00,1.94,[80 21 33  6 58],2000,[20],[20],[20],1,-197.91879197755983,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
220,2017-03-05 00:00:00-2019-12-30 00:00:00,1.94,[80 21 33  6 58],2000,[10],[10],[10],1,-88.33003014680571,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
45,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[10],[10],[10],1,-91.43213574772531,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
46,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[15],[15],[15],1,-148.19073209353547,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
47,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[20],[20],[20],1,-204.9493284393456,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
27,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[62 80 51],2000,[20],[20],[20],1,-232.16214774853054,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
26,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[62 80 51],2000,[15],[15],[15],1,-167.89408538895879,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
25,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[62 80 51],2000,[10],[10],[10],1,-103.62602302938703,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
22,2017-03-04 00:00:00-2019-12-28 00:00:00,1.94,[62],2000,[20],[20],[20],1,-212.35376601083604,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
50,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[58 80 38 62 33],2000,[10],[10],[10],1,-112.54216246547672,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
51,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[58 80 38 62 33],2000,[15],[15],[15],1,-182.33994591762334,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
52,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[58 80 38 62 33],2000,[20],[20],[20],1,-252.13772936976997,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
21,2017-03-04 00:00:00-2019-12-28 00:00:00,1.94,[62],2000,[15],[15],[15],1,-153.55688993794325,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
20,2017-03-04 00:00:00-2019-12-28 00:00:00,1.94,[62],2000,[10],[10],[10],1,-94.7600138650505,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
157,2017-03-10 00:00:00-2019-12-30 00:00:00,1.95,[38],2000,[20],[20],[20],1,-250.5750080703645,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
160,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[38],2000,[10],[10],[10],1,-103.97562708875083,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
161,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[38],2000,[15],[15],[15],1,-168.50573581874153,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
162,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[38],2000,[20],[20],[20],1,-233.0358445487322,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
202,2017-03-09 00:00:00-2019-12-30 00:00:00,1.95,[6],2000,[20],[20],[20],1,-260.8919554895419,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
165,2017-03-08 00:00:00-2019-10-25 00:00:00,2.08,[38],2000,[10],[10],[10],1,-94.23368605275557,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
40,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[10],[10],[10],1,-98.15587282204834,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
82,2017-03-07 00:00:00-2019-10-27 00:00:00,2.07,[62],2000,[20],[20],[20],1,-190.4497298236822,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
196,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[80 62 33  6],2000,[15],[15],[15],1,-125.63445700792373,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
212,2017-03-04 00:00:00-2019-12-27 00:00:00,1.94,[58 33 80 51 62 38],2000,[20],[20],[20],1,-206.84611610879918,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
17,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[62],2000,[20],[20],[20],1,-193.1258785168697,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
56,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[33 62],2000,[15],[15],[15],1,-153.03021674839295,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
55,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[33 62],2000,[10],[10],[10],1,-94.41804729334528,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
225,2017-02-28 00:00:00-2019-12-30 00:00:00,1.1,[ 6 80 62 58 51 33 38 21],1140,[10],[10],[10],1,-160.6764849813927,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
81,2017-03-07 00:00:00-2019-10-27 00:00:00,2.07,[62],2000,[15],[15],[15],1,-137.33296991621012,0.0,False,True,1,5,91140,5,46,Window_2000,,mean
