,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
0,2017-05-24 00:00:00-2019-12-20 00:00:00,0.06,[1],59,"    0
0  10","    0
0  10","    0
0  10",1,"0   -919.550209
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
13,2017-06-06 00:00:00-2018-07-31 00:00:00,0.02,[22],8,"    0
0  10","    0
0  10","    0
0  10",1,"0   -942.06632
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
1,2017-10-16 00:00:00-2019-10-15 00:00:00,0.01,[2],9,"    0
0  10","    0
0  10","    0
0  10",1,"0   -2207.97735
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
3,2017-06-16 00:00:00-2019-12-20 00:00:00,0.02,[4],19,"    0
0  10","    0
0  10","    0
0  10",1,"0   -1925.693249
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
4,2017-11-02 00:00:00-2019-07-27 00:00:00,0.03,[5],20,"    0
0  10","    0
0  10","    0
0  10",1,"0   -1251.820824
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
6,2017-02-28 00:00:00-2019-12-30 00:00:00,2.29,[7],2373,"    0
0  10","    0
0  10","    0
0  10",1,"0   -72.006334
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
7,2018-04-18 00:00:00-2019-08-01 00:00:00,0.04,[9],19,"    0
0  10","    0
0  10","    0
0  10",1,"0   -624.893741
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
8,2017-03-16 00:00:00-2019-12-20 00:00:00,0.21,[10],208,"    0
0  10","    0
0  10","    0
0  10",1,"0   -440.772072
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
9,2017-03-22 00:00:00-2019-12-03 00:00:00,0.09,[11],90,"    0
0  10","    0
0  10","    0
0  10",1,"0   -702.181434
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
10,2018-02-28 00:00:00-2019-06-18 00:00:00,0.02,[13],8,"    0
0  10","    0
0  10","    0
0  10",1,"0   -1123.082373
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
11,2018-06-20 00:00:00-2019-03-02 00:00:00,0.04,[20],9,"    0
0  10","    0
0  10","    0
0  10",1,"0   -316.565437
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
27,2017-04-19 00:00:00-2019-12-20 00:00:00,0.47,[39],462,"    0
0  10","    0
0  10","    0
0  10",1,"0   -265.271302
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
14,2017-04-08 00:00:00-2019-12-12 00:00:00,0.16,[24],157,"    0
0  10","    0
0  10","    0
0  10",1,"0   -621.720073
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
15,2017-03-13 00:00:00-2019-11-13 00:00:00,0.01,[25],8,"    0
0  10","    0
0  10","    0
0  10",1,"0   -3092.428713
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
60,2017-04-11 00:00:00-2019-12-05 00:00:00,0.08,[88],80,"    0
0  10","    0
0  10","    0
0  10",1,"0   -791.147444
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
17,2017-04-06 00:00:00-2019-12-06 00:00:00,0.06,[27],59,"    0
0  10","    0
0  10","    0
0  10",1,"0   -1115.255692
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
25,2017-07-27 00:00:00-2019-08-29 00:00:00,0.02,[37],12,"    0
0  10","    0
0  10","    0
0  10",1,"0   -1806.241445
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
24,2017-08-25 00:00:00-2019-05-13 00:00:00,0.01,[36],4,"    0
0  10","    0
0  10","    0
0  10",1,"0   -2561.495933
Name: 0, dtype: float64",[0.],False,True,1,1,250208,1,61,Demographics,,mean
23,2019-07-27 00:00:00-2019-07-27 00:00:00,1.0,[35],1,"    0
0  10","    0
0  10","    0
0  10",1,"0   NaN
Name: 0, dtype: float64",[nan],False,True,1,1,250208,1,61,Demographics,,mean
