,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
0,2017-02-28 00:00:00-2019-12-30 00:00:00,1.93,[6],2000,[10],[10],[10],1,-121.6902837905159,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
2,2017-03-07 00:00:00-2019-12-19 00:00:00,1.96,[62],2000,[10],[10],[10],1,-90.73940441177406,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
3,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[62],2000,[10],[10],[10],1,-86.16865085601992,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
4,2017-03-04 00:00:00-2019-12-28 00:00:00,1.94,[62],2000,[10],[10],[10],1,-94.7600138650505,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
5,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[62 80 51],2000,[10],[10],[10],1,-103.62602302938703,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
6,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[51],2000,[10],[10],[10],1,-98.25266738046716,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
7,2017-02-28 00:00:00-2019-12-30 00:00:00,1.93,[51 58],2000,[10],[10],[10],1,-108.24554281432229,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
8,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[10],[10],[10],1,-98.15587282204834,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
9,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[58],2000,[10],[10],[10],1,-91.43213574772531,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
44,2017-03-05 00:00:00-2019-12-30 00:00:00,1.94,[80 21 33  6 58],2000,[10],[10],[10],1,-88.33003014680571,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
10,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[58 80 38 62 33],2000,[10],[10],[10],1,-112.54216246547672,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
12,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[62],2000,[10],[10],[10],1,-96.1351208888199,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
13,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[62],2000,[10],[10],[10],1,-103.23058954676576,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
14,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[62],2000,[10],[10],[10],1,-96.76389412733535,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
15,2017-03-08 00:00:00-2019-12-17 00:00:00,1.97,[62],2000,[10],[10],[10],1,-87.21833835532757,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
16,2017-03-07 00:00:00-2019-10-27 00:00:00,2.07,[62],2000,[10],[10],[10],1,-84.21621000873807,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
17,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[62],2000,[10],[10],[10],1,-103.7471710252046,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
18,2017-03-05 00:00:00-2019-12-28 00:00:00,1.94,[62 33],2000,[10],[10],[10],1,-109.18928235395268,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
19,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[33],2000,[10],[10],[10],1,-111.66618103609291,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
20,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[33],2000,[10],[10],[10],1,-115.16645677750535,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
1,2017-03-05 00:00:00-2019-12-24 00:00:00,1.95,[ 6 62 80],2000,[10],[10],[10],1,-92.36869231905658,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
21,2017-02-28 00:00:00-2019-10-26 00:00:00,2.06,[33],2000,[10],[10],[10],1,-100.3704416910948,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
22,2017-03-05 00:00:00-2019-10-25 00:00:00,2.07,[33],2000,[10],[10],[10],1,-91.47308774226441,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
23,2017-03-09 00:00:00-2019-12-30 00:00:00,1.95,[33 62],2000,[10],[10],[10],1,-80.85589823962854,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
25,2017-03-05 00:00:00-2019-12-27 00:00:00,1.95,[62],2000,[10],[10],[10],1,-105.16475996061033,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
26,2017-03-04 00:00:00-2019-10-25 00:00:00,2.07,[62],2000,[10],[10],[10],1,-76.74778434454154,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
27,2017-03-05 00:00:00-2019-12-27 00:00:00,1.95,[62 38],2000,[10],[10],[10],1,-91.18760341638897,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
28,2017-03-10 00:00:00-2019-12-30 00:00:00,1.95,[38],2000,[10],[10],[10],1,-94.37176991743257,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
29,2017-03-05 00:00:00-2019-12-28 00:00:00,1.94,[38],2000,[10],[10],[10],1,-103.92654517368915,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
30,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[38],2000,[10],[10],[10],1,-112.82089652897328,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
31,2017-03-10 00:00:00-2019-12-30 00:00:00,1.95,[38],2000,[10],[10],[10],1,-111.75753599682562,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
32,2017-03-07 00:00:00-2019-12-30 00:00:00,1.94,[38],2000,[10],[10],[10],1,-103.97562708875083,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
33,2017-03-08 00:00:00-2019-10-25 00:00:00,2.08,[38],2000,[10],[10],[10],1,-94.23368605275557,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
11,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[33 62],2000,[10],[10],[10],1,-94.41804729334528,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
34,2017-03-04 00:00:00-2019-12-19 00:00:00,1.96,[38 62],2000,[10],[10],[10],1,-101.87458169915863,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
36,2017-03-04 00:00:00-2019-12-30 00:00:00,1.94,[21],2000,[10],[10],[10],1,-102.92519677731651,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
37,2017-03-04 00:00:00-2019-12-24 00:00:00,1.95,[21  6 58],2000,[10],[10],[10],1,-85.80737515140063,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
38,2017-03-08 00:00:00-2019-12-28 00:00:00,1.95,[58 33 80 38],2000,[10],[10],[10],1,-80.6493415303924,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
39,2017-03-08 00:00:00-2019-12-30 00:00:00,1.95,[80 62 33  6],2000,[10],[10],[10],1,-77.5151493312674,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
40,2017-03-09 00:00:00-2019-12-30 00:00:00,1.95,[6],2000,[10],[10],[10],1,-116.37413548535663,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
41,2017-02-28 00:00:00-2019-12-29 00:00:00,1.93,[ 6 33 58],2000,[10],[10],[10],1,-102.04397005456218,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
42,2017-03-04 00:00:00-2019-12-27 00:00:00,1.94,[58 33 80 51 62 38],2000,[10],[10],[10],1,-92.2903284468216,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
43,2017-02-28 00:00:00-2019-12-20 00:00:00,1.95,[33 58 62 80],2000,[10],[10],[10],1,-96.51414204854427,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
24,2017-03-14 00:00:00-2019-12-30 00:00:00,1.96,[62 38],2000,[10],[10],[10],1,-112.19966399313832,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
35,2017-03-07 00:00:00-2019-12-29 00:00:00,1.95,[62 33 51 21],2000,[10],[10],[10],1,-128.11425076481638,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
45,2017-02-28 00:00:00-2019-12-30 00:00:00,1.1,[ 6 80 62 58 51 33 38 21],1140,[10],[10],[10],1,-160.6764849813927,0.0,False,True,1,1,91140,1,46,Window_2000,,mean
