,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
239,2019-03-07 00:00:00-2019-12-21 00:00:00,0.36,[80],103,2017-02-28 00:00:00-2018-12-17 00:00:00,6.48,[6],4264,-19.72329625068737,8.377399094256668e-73,False,False,2.0545770665914742e-238,56384,26553,17,16,Demographics,Promotion,mean
35,2019-03-01 00:00:00-2019-12-30 00:00:00,0.79,[21],242,2017-02-28 00:00:00-2018-12-17 00:00:00,6.48,[6],4264,-18.943408225796297,3.0072525321365377e-68,False,False,2.2000421601966592e-173,56384,26553,17,16,Demographics,Promotion,mean
31,2019-02-28 00:00:00-2019-12-30 00:00:00,6.55,[6],2005,2017-03-05 00:00:00-2018-12-06 00:00:00,0.55,[80],354,18.562270050855506,7.909452873050682e-66,False,False,3.495749661324121e-30,56384,26553,17,16,Demographics,Promotion,mean
243,2019-03-07 00:00:00-2019-12-21 00:00:00,0.36,[80],103,2017-02-28 00:00:00-2018-12-17 00:00:00,12.49,[33],8221,-17.825379587828564,1.6751032741764362e-61,False,False,6.188756206239129e-244,56384,26553,17,16,Demographics,Promotion,mean
245,2019-03-07 00:00:00-2019-12-21 00:00:00,0.36,[80],103,2017-03-04 00:00:00-2018-12-17 00:00:00,10.98,[38],7181,-17.449298435540364,2.691345567016499e-59,False,False,1.3119932611855924e-244,56384,26553,17,16,Demographics,Promotion,mean
167,2019-02-28 00:00:00-2019-12-30 00:00:00,3.61,[51],1106,2017-03-05 00:00:00-2018-12-06 00:00:00,0.55,[80],354,17.24509484184677,3.7132140886596594e-58,False,False,1.301677449073285e-26,56384,26553,17,16,Demographics,Promotion,mean
39,2019-03-01 00:00:00-2019-12-30 00:00:00,0.79,[21],242,2017-02-28 00:00:00-2018-12-17 00:00:00,12.49,[33],8221,-16.990937639588882,8.164294034938328e-57,False,False,1.1270834033645338e-178,56384,26553,17,16,Demographics,Promotion,mean
17,2019-02-28 00:00:00-2019-12-30 00:00:00,6.55,[6],2005,2017-03-07 00:00:00-2018-12-17 00:00:00,1.23,[6],803,16.893971214386838,3.1929564359637003e-56,False,False,0.00020274656459552575,56384,26553,17,16,Demographics,Promotion,mean
251,2019-03-07 00:00:00-2019-12-21 00:00:00,0.36,[80],103,2017-03-04 00:00:00-2018-12-17 00:00:00,25.93,[62],16961,-16.735915288201742,3.0577105742370476e-55,False,False,1.3232680891960333e-253,56384,26553,17,16,Demographics,Promotion,mean
19,2019-02-28 00:00:00-2019-12-30 00:00:00,6.55,[6],2005,2017-03-04 00:00:00-2018-12-13 00:00:00,1.29,[21],839,16.554023810729475,2.6737283949349284e-54,False,False,0.014443534745352761,56384,26553,17,16,Demographics,Promotion,mean
