,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1964,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,2017-02-28 00:00:00-2018-12-17 00:00:00,84.58,35.29,55653,-49.65856936198356,1.1776550072460923e-264,False,False,7.603591841609044e-278,160139,71070,58,54,Demographics,Promotion,mean,2.816950777332653e-261
1949,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,2017-02-28 00:00:00-2018-12-17 00:00:00,63.53,30.29,41801,-45.59526942105918,1.3197322517449284e-239,False,False,7.603591841609044e-278,160139,71070,58,54,Demographics,Promotion,mean,1.5783997730869343e-236
862,2019-03-05 00:00:00-2019-11-13 00:00:00,0.02,0.17,5,2017-02-28 00:00:00-2018-12-17 00:00:00,84.58,35.29,55653,-43.97833493579372,7.827445594354355e-214,False,False,3.9865856127562835e-276,160139,71070,58,54,Demographics,Promotion,mean,6.2410832872318725e-211
1848,2019-03-08 00:00:00-2019-12-24 00:00:00,0.08,0.47,23,2017-02-28 00:00:00-2018-12-17 00:00:00,84.58,35.29,55653,-42.1776270396046,2.538587420357761e-208,False,False,2.3708910047458828e-269,160139,71070,58,54,Demographics,Promotion,mean,1.518075277373941e-205
847,2019-03-05 00:00:00-2019-11-13 00:00:00,0.02,0.17,5,2017-02-28 00:00:00-2018-12-17 00:00:00,63.53,30.29,41801,-41.22697065855384,1.8810217796428473e-206,False,False,3.9865856127562835e-276,160139,71070,58,54,Demographics,Promotion,mean,8.998808193811382e-204
1833,2019-03-08 00:00:00-2019-12-24 00:00:00,0.08,0.47,23,2017-02-28 00:00:00-2018-12-17 00:00:00,63.53,30.29,41801,-39.72125484418732,8.325558043482926e-201,False,False,2.3708910047458828e-269,160139,71070,58,54,Demographics,Promotion,mean,3.319122473335193e-198
572,2019-03-27 00:00:00-2019-12-03 00:00:00,0.1,0.52,26,2017-02-28 00:00:00-2018-12-17 00:00:00,84.58,35.29,55653,-42.05611499660226,1.8134896546616127e-199,False,False,7.4681024659171434e-267,160139,71070,58,54,Demographics,Promotion,mean,6.196953219929397e-197
557,2019-03-27 00:00:00-2019-12-03 00:00:00,0.1,0.52,26,2017-02-28 00:00:00-2018-12-17 00:00:00,63.53,30.29,41801,-39.60229061882797,1.7624537402038306e-194,False,False,7.4681024659171434e-267,160139,71070,58,54,Demographics,Promotion,mean,5.2697366832094536e-192
2776,2019-04-02 00:00:00-2019-11-29 00:00:00,0.22,0.94,54,2017-02-28 00:00:00-2018-12-17 00:00:00,84.58,35.29,55653,-39.28949324247977,4.1485824092138597e-175,False,False,1.0806643935947915e-254,160139,71070,58,54,Demographics,Promotion,mean,1.102601013648839e-172
2761,2019-04-02 00:00:00-2019-11-29 00:00:00,0.22,0.94,54,2017-02-28 00:00:00-2018-12-17 00:00:00,63.53,30.29,41801,-37.324256491834234,1.516195860628305e-174,False,False,1.0806643935947915e-254,160139,71070,58,54,Demographics,Promotion,mean,3.6267404986229056e-172
