,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
20,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-07-29 00:00:00-2018-08-19 00:00:00,32.32,70.38,711,-1.2262918511869179,0.23303577620956206,False,False,9.118725767208523e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
0,2019-03-03 00:00:00-2019-04-21 00:00:00,16.04,40.3,802,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.200991639056411,0.2352247066589319,False,False,2.8249061182948647e-18,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
16,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,-1.1894623734296392,0.24350345249895117,False,False,2.8024527008808696e-06,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
60,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.1890860862379542,0.24742412365557087,False,False,5.023186686915385e-20,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
22,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-1.1571848129761286,0.2660306846839427,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
18,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-06-03 00:00:00-2018-06-17 00:00:00,25.07,52.2,376,-1.1238919794582471,0.27940346537119365,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
19,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,-1.1193411538503477,0.28126885198844376,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
21,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,-1.1078105349230096,0.2860417851850109,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
36,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.091072415322189,0.2873233468362194,False,False,5.023186686915385e-20,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
14,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,-1.0937371109132092,0.29195689285886617,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
17,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,-1.0935289021140164,0.29204156965847555,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
48,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.0911901977309233,0.29339777134141853,False,False,1.2149563787356042e-20,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
72,2019-09-01 00:00:00-2019-09-15 00:00:00,19.33,40.73,290,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.0437851990741196,0.3140419425429988,False,False,1.2149563787356042e-20,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
15,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2017-07-30 00:00:00-2017-08-13 00:00:00,37.27,79.73,559,-1.0246259276796783,0.32233555267624237,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
24,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.044838055472309,0.3306706436556715,True,False,2.823111547056855e-21,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
13,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,-0.9923504518625683,0.33724064889180827,False,False,2.729729861119641e-07,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
96,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,1.0238234443717051,0.3398257956857625,True,False,2.823111547056855e-21,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
23,2019-05-12 00:00:00-2019-12-29 00:00:00,16.89,43.9,3919,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,-0.9750234396751016,0.36157695346472785,False,False,7.466403023191152e-08,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
84,2019-10-06 00:00:00-2019-11-03 00:00:00,18.21,42.33,528,2017-03-05 00:00:00-2018-12-16 00:00:00,18.06,47.91,11775,0.8592792672113863,0.3971672672252141,False,False,1.9976534312841998e-19,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
94,2019-10-06 00:00:00-2019-11-03 00:00:00,18.21,42.33,528,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-0.6454559117744444,0.5256066486956523,False,False,0.7033600779832025,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
95,2019-10-06 00:00:00-2019-11-03 00:00:00,18.21,42.33,528,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,-0.6208475708867,0.5503714514972261,False,False,0.4201627576770608,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
