,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
6957,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,15.958948573970854,1.3380282906342483e-43,False,False,6.961984056155583e-07,160139,71070,161,72,Window_1000,Promotion,mean
7073,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-13 00:00:00-2018-12-17 00:00:00,1.55,3.16,1000,15.72020058458101,1.3976087991103581e-42,False,False,0.776423916373449,160139,71070,161,72,Window_1000,Promotion,mean
6474,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,15.228350095130624,9.506472353861886e-41,False,False,1.5853886533473188e-07,160139,71070,161,72,Window_1000,Promotion,mean
6930,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-02-28 00:00:00-2018-12-13 00:00:00,1.53,4.1,1000,14.983515285460307,1.372137828738502e-40,False,False,2.487420490278836e-05,160139,71070,161,72,Window_1000,Promotion,mean
7052,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-04 00:00:00-2018-12-16 00:00:00,1.53,2.73,1000,15.12406373256619,3.1444735724783922e-40,False,False,0.0001904687678016864,160139,71070,161,72,Window_1000,Promotion,mean
6931,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-17 00:00:00-2018-12-10 00:00:00,1.58,5.04,1000,14.690727930755827,5.356036271496205e-40,False,False,3.207263276743644e-16,160139,71070,161,72,Window_1000,Promotion,mean
6590,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-13 00:00:00-2018-12-17 00:00:00,1.55,3.16,1000,14.980571472101964,1.0599022654825666e-39,False,False,1.0,160139,71070,161,72,Window_1000,Promotion,mean
7057,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-08 00:00:00-2018-12-17 00:00:00,1.54,3.14,1000,14.755111631710573,3.467975579929254e-39,False,False,0.09587048972319999,160139,71070,161,72,Window_1000,Promotion,mean
6962,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-08 00:00:00-2018-12-17 00:00:00,1.54,2.57,1000,14.83748435906708,4.263845515297656e-39,False,False,4.064098068071853e-12,160139,71070,161,72,Window_1000,Promotion,mean
6993,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-09 00:00:00-2018-12-14 00:00:00,1.55,2.55,1000,14.633613796932394,2.3939056251340204e-38,False,False,0.000142999970637613,160139,71070,161,72,Window_1000,Promotion,mean
8245,2019-02-28 00:00:00-2019-12-24 00:00:00,3.33,3.29,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,14.589558302136014,1.4417156753467049e-37,False,False,0.0009301878017030163,160139,71070,161,72,Window_1000,Promotion,mean
6447,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-02-28 00:00:00-2018-12-13 00:00:00,1.53,4.1,1000,14.225637670101818,1.4488326454107733e-37,False,False,6.917658366093683e-06,160139,71070,161,72,Window_1000,Promotion,mean
7067,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-04 00:00:00-2018-12-17 00:00:00,1.53,2.13,1000,14.486644818304896,1.5587753590204331e-37,False,False,1.6246898480551535e-17,160139,71070,161,72,Window_1000,Promotion,mean
3254,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,3.16,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,14.418284969400109,2.2356375210329955e-37,False,False,1.826206859364542e-05,160139,71070,161,72,Window_1000,Promotion,mean
6569,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-04 00:00:00-2018-12-16 00:00:00,1.53,2.73,1000,14.362881036689895,2.8314716791023196e-37,False,False,0.0005606093599130088,160139,71070,161,72,Window_1000,Promotion,mean
7043,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-07 00:00:00-2018-12-11 00:00:00,1.55,2.97,1000,14.2167198306434,3.8804263643966554e-37,False,False,0.07415788911066729,160139,71070,161,72,Window_1000,Promotion,mean
6947,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-07 00:00:00-2018-12-17 00:00:00,1.54,2.48,1000,14.300897612605178,4.1492752720938734e-37,False,False,1.2490154855039434e-10,160139,71070,161,72,Window_1000,Promotion,mean
7058,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-09 00:00:00-2018-12-10 00:00:00,1.56,3.51,1000,14.111304210163508,4.228014889488714e-37,False,False,0.0024619701521903115,160139,71070,161,72,Window_1000,Promotion,mean
6448,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-17 00:00:00-2018-12-10 00:00:00,1.58,5.04,1000,13.930653870727221,6.631065900900751e-37,False,False,3.1600845244132877e-17,160139,71070,161,72,Window_1000,Promotion,mean
10016,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,3.08,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,14.202871925210388,7.572585385640452e-37,False,False,1.0895846677486544e-05,160139,71070,161,72,Window_1000,Promotion,mean
8361,2019-02-28 00:00:00-2019-12-24 00:00:00,3.33,3.29,1000,2017-03-13 00:00:00-2018-12-17 00:00:00,1.55,3.16,1000,14.389386891878019,9.157239264991804e-37,False,False,0.051032565933789714,160139,71070,161,72,Window_1000,Promotion,mean
3370,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,3.16,1000,2017-03-13 00:00:00-2018-12-17 00:00:00,1.55,3.16,1000,14.181321017294893,2.1066505820444317e-36,False,False,0.33233733472831994,160139,71070,161,72,Window_1000,Promotion,mean
34,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,3.17,1000,2017-03-04 00:00:00-2018-12-12 00:00:00,1.54,3.49,1000,14.126998313351276,2.380819450164933e-36,False,False,1.4125948057589497e-05,160139,71070,161,72,Window_1000,Promotion,mean
7008,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-04 00:00:00-2018-12-15 00:00:00,1.53,2.53,1000,14.061674721132004,2.810428041872867e-36,False,False,7.660934677718142e-07,160139,71070,161,72,Window_1000,Promotion,mean
6574,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-08 00:00:00-2018-12-17 00:00:00,1.54,3.14,1000,13.984633766633088,3.632119845034701e-36,False,False,0.05138711968347465,160139,71070,161,72,Window_1000,Promotion,mean
7010,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-05 00:00:00-2018-12-17 00:00:00,1.53,2.66,1000,14.000594461031765,3.763362581391728e-36,False,False,0.005209509403676163,160139,71070,161,72,Window_1000,Promotion,mean
6479,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.98,1000,2017-03-08 00:00:00-2018-12-17 00:00:00,1.54,2.57,1000,14.06594529179144,4.140119448923225e-36,False,False,2.798757010359254e-11,160139,71070,161,72,Window_1000,Promotion,mean
7040,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-08 00:00:00-2018-12-17 00:00:00,1.54,2.65,1000,13.981759871866108,4.5341819444456825e-36,False,False,0.0011899018591313524,160139,71070,161,72,Window_1000,Promotion,mean
7039,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-10 00:00:00-2018-12-17 00:00:00,1.54,2.77,1000,13.894204092199866,7.707060337078041e-36,False,False,0.04299508166630089,160139,71070,161,72,Window_1000,Promotion,mean
7047,2019-02-28 00:00:00-2019-12-30 00:00:00,3.27,2.89,1000,2017-03-08 00:00:00-2018-12-11 00:00:00,1.55,3.35,1000,13.768795572395817,9.338033386255143e-36,False,False,0.012733722565054915,160139,71070,161,72,Window_1000,Promotion,mean
