,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
10,2016-01-01,2018-01-01,412480,412480,2015-06-13,2015-06-15,2477,2477,-9.873346058256192,5.432167570748541e-23,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
9,2016-01-01,2018-01-01,412480,412480,2015-05-20,2015-05-22,2143,2143,-9.714255104442374,2.621588143172962e-22,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
1,2016-01-01,2018-01-01,412480,412480,2015-01-10,2015-01-14,3593,3593,-9.359794199795479,7.989215316842903e-21,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
3,2016-01-01,2018-01-01,412480,412480,2015-01-13,2015-01-15,2009,2009,-9.05837811847228,1.3240456465043466e-19,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
12,2016-01-01,2018-01-01,412480,412480,2015-09-15,2015-09-17,2752,2752,-8.78370439479871,1.5817705432495305e-18,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
14,2016-01-01,2018-01-01,412480,412480,2015-10-19,2015-10-21,1764,1764,-8.744720139362789,2.235690890519094e-18,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
7,2016-01-01,2018-01-01,412480,412480,2015-04-20,2015-04-22,3217,3217,-8.656260256645517,4.8749484300890985e-18,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
4,2016-01-01,2018-01-01,412480,412480,2015-02-23,2015-02-25,3580,3580,-8.50765956257616,1.774793968961732e-17,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
218,2016-07-30,2016-08-01,2356,2356,2015-01-17,2015-11-20,294058,294058,8.21190111182565,2.1771354846366237e-16,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
17,2016-01-01,2018-01-01,412480,412480,2015-11-12,2015-11-14,2373,2373,-8.183404978905127,2.759338730062943e-16,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
290,2016-09-12,2016-09-14,2111,2111,2015-01-17,2015-11-20,294058,294058,8.15171924504862,3.5878648757802904e-16,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
758,2017-09-06,2017-09-08,1353,1353,2015-01-17,2015-11-20,294058,294058,8.076959762144376,6.640144472236671e-16,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
146,2016-05-16,2016-05-18,2658,2658,2015-01-17,2015-11-20,294058,294058,8.033360519776263,9.48384605345914e-16,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
686,2017-07-20,2017-07-23,1764,1764,2015-01-17,2015-11-20,294058,294058,7.960044708604107,1.7197712740432313e-15,False,False,1.12994589708919e-131,309133,412480,18,48,Trend,Promotion,mean
182,2016-07-17,2016-07-19,2967,2967,2015-01-17,2015-11-20,294058,294058,7.918441961413872,2.405051590794783e-15,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
830,2017-12-13,2017-12-15,671,671,2015-01-17,2015-11-20,294058,294058,7.897488709553688,2.8457877591241735e-15,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
56,2016-02-20,2016-02-23,3532,3532,2015-01-17,2015-11-20,294058,294058,7.825549173053026,5.054455767819299e-15,False,False,1.12994589708919e-131,309133,412480,18,48,Trend,Promotion,mean
488,2017-01-18,2017-01-20,1813,1813,2015-01-17,2015-11-20,294058,294058,7.782199503404873,7.12743508852788e-15,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
560,2017-04-21,2017-04-23,849,849,2015-01-17,2015-11-20,294058,294058,7.7447481073735975,9.577151553698185e-15,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
434,2016-11-22,2016-11-24,1383,1383,2015-01-17,2015-11-20,294058,294058,7.74047648898561,9.904491763793633e-15,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
16,2016-01-01,2018-01-01,412480,412480,2015-11-09,2015-11-11,2952,2952,-7.68848779815812,1.4888421426203915e-14,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
236,2016-08-09,2016-08-11,4527,4527,2015-01-17,2015-11-20,294058,294058,7.537821901649122,4.77885897286163e-14,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
326,2016-10-17,2016-10-19,1686,1686,2015-01-17,2015-11-20,294058,294058,7.5285688070018635,5.1299483242521286e-14,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
6,2016-01-01,2018-01-01,412480,412480,2015-04-16,2015-04-18,2788,2788,-7.399346332892862,1.368564904917021e-13,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
794,2017-11-15,2017-11-17,857,857,2015-01-17,2015-11-20,294058,294058,7.369606466441183,1.711324504000218e-13,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
0,2016-01-01,2018-01-01,412480,412480,2015-01-03,2015-01-05,3596,3596,-7.353488466293072,1.9309967593024184e-13,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
596,2017-05-05,2017-05-07,813,813,2015-01-17,2015-11-20,294058,294058,7.308552802519913,2.700348313640425e-13,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
380,2016-11-05,2016-11-07,1648,1648,2015-01-17,2015-11-20,294058,294058,7.1964667742528485,6.17928370469294e-13,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
722,2017-08-11,2017-08-13,1360,1360,2015-01-17,2015-11-20,294058,294058,7.048022383514071,1.8147845245693586e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
416,2016-11-15,2016-11-17,1783,1783,2015-01-17,2015-11-20,294058,294058,7.020131418726215,2.2165965533368556e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
164,2016-07-06,2016-07-08,2267,2267,2015-01-17,2015-11-20,294058,294058,6.940095261449294,3.918356276924845e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
13,2016-01-01,2018-01-01,412480,412480,2015-09-18,2015-09-20,1490,1490,-6.928876162272005,4.241969246618421e-12,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
398,2016-11-08,2016-11-10,1615,1615,2015-01-17,2015-11-20,294058,294058,6.920977001590717,4.4853931212770195e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
11,2016-01-01,2018-01-01,412480,412480,2015-07-30,2015-08-01,3474,3474,-6.904628210303819,5.033507940981987e-12,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
110,2016-03-21,2016-03-23,1610,1610,2015-01-17,2015-11-20,294058,294058,6.893551307310165,5.441647982513398e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
632,2017-06-12,2017-06-14,1320,1320,2015-01-17,2015-11-20,294058,294058,6.887574697403063,5.675157584155475e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
308,2016-09-23,2016-09-25,1778,1778,2015-01-17,2015-11-20,294058,294058,6.855188447892278,7.121857302362928e-12,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
506,2017-02-04,2017-02-07,2007,2007,2015-01-17,2015-11-20,294058,294058,6.801855080131677,1.0328046793466008e-11,False,False,1.12994589708919e-131,309133,412480,18,48,Trend,Promotion,mean
524,2017-04-07,2017-04-09,699,699,2015-01-17,2015-11-20,294058,294058,6.793122504271945,1.0973212272722789e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
704,2017-08-06,2017-08-08,1086,1086,2015-01-17,2015-11-20,294058,294058,6.774825425184697,1.2455656872259455e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
614,2017-06-02,2017-06-04,1192,1192,2015-01-17,2015-11-20,294058,294058,6.734283784423862,1.6473937352543957e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
344,2016-10-27,2016-10-29,1964,1964,2015-01-17,2015-11-20,294058,294058,6.642063072864487,3.093225343111779e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
92,2016-03-06,2016-03-08,3457,3457,2015-01-17,2015-11-20,294058,294058,6.569854384514212,5.036449046003417e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
740,2017-08-14,2017-08-16,1675,1675,2015-01-17,2015-11-20,294058,294058,6.487560185104193,8.723749612249646e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
200,2016-07-23,2016-07-25,2792,2792,2015-01-17,2015-11-20,294058,294058,6.482396442019876,9.027704756599036e-11,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
74,2016-02-27,2016-02-29,4049,4049,2015-01-17,2015-11-20,294058,294058,6.455807287645926,1.0764351882801637e-10,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
848,2017-12-27,2017-12-29,537,537,2015-01-17,2015-11-20,294058,294058,6.407887743315369,1.4754947864748027e-10,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
15,2016-01-01,2018-01-01,412480,412480,2015-11-02,2015-11-04,2607,2607,-6.362372181665916,1.9866134291483002e-10,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
38,2016-01-12,2016-01-14,1445,1445,2015-01-17,2015-11-20,294058,294058,6.322922541064434,2.5666197794148763e-10,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
8,2016-01-01,2018-01-01,412480,412480,2015-04-23,2015-04-25,3071,3071,-6.271917264050433,3.566290831826093e-10,False,False,0.0,309133,412480,18,48,Trend,Promotion,mean
452,2016-12-12,2016-12-14,1866,1866,2015-01-17,2015-11-20,294058,294058,6.221544053754342,4.922858883852473e-10,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
470,2016-12-30,2017-01-01,1689,1689,2015-01-17,2015-11-20,294058,294058,6.157066533108884,7.410472249501487e-10,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
128,2016-03-31,2016-04-02,1589,1589,2015-01-17,2015-11-20,294058,294058,6.105950699761714,1.02190550292878e-09,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
650,2017-06-26,2017-06-28,1041,1041,2015-01-17,2015-11-20,294058,294058,5.94252828692099,2.806592041683844e-09,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
362,2016-11-01,2016-11-03,1752,1752,2015-01-17,2015-11-20,294058,294058,5.891139795560701,3.835409145503223e-09,False,False,1.584254138816947e-132,309133,412480,18,48,Trend,Promotion,mean
