,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
7934,2019-09-22,2019-09-27,1023,1023,2018-12-09,2018-12-14,1196,1196,-1.4536045415487029,0.17670781869661756,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
7662,2019-09-15,2019-09-20,954,954,2018-07-29,2018-08-03,1496,1496,1.4243580992216371,0.1847926125520939,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
7933,2019-09-22,2019-09-27,1023,1023,2018-12-02,2018-12-07,1216,1216,-1.401865833787682,0.19122343827936011,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
7640,2019-09-15,2019-09-20,954,954,2018-03-27,2018-03-30,879,879,1.4276038935775142,0.1912537188781468,False,False,0.5402913746074198,108075,36752,245,96,Trend,Promotion,mean
2272,2019-05-19,2019-05-24,1203,1203,2018-07-29,2018-08-03,1496,1496,1.3817120057469268,0.19714623454951435,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
7904,2019-09-22,2019-09-27,1023,1023,2018-07-08,2018-07-13,2675,2675,-1.3756429911408954,0.19895991291956514,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
2250,2019-05-19,2019-05-24,1203,1203,2018-03-27,2018-03-30,879,879,1.392059244058523,0.201381789144082,False,False,0.5402913746074198,108075,36752,245,96,Trend,Promotion,mean
7918,2019-09-22,2019-09-27,1023,1023,2018-09-16,2018-09-21,1340,1340,-1.3418819564486983,0.2093076169476589,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
4259,2019-07-07,2019-07-12,1435,1435,2018-12-09,2018-12-14,1196,1196,-1.3259873670768723,0.21433312869791815,False,False,1.0,108075,36752,245,96,Trend,Promotion,mean
8620,2019-10-13,2019-10-18,990,990,2018-03-27,2018-03-30,879,879,1.3305438384179809,0.2200143444356714,False,False,0.5402913746074198,108075,36752,245,96,Trend,Promotion,mean
