,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
3626,2018-03-14 00:00:00-2018-03-17 00:00:00,240.25,44.66,961,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.3516044586469567,0.2134744233645348,False,False,0.5402913746074198,121449,45087,80,71,Trend,Promotion,mean
2266,2018-08-18 00:00:00-2018-08-21 00:00:00,32.75,15.04,131,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.2181176359015908,0.2578825452739889,False,False,0.5402913746074198,121449,45087,80,71,Trend,Promotion,mean
5226,2018-08-07 00:00:00-2018-08-10 00:00:00,62.25,7.27,249,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.210401136749932,0.2606702129166646,False,False,0.5402913746074198,121449,45087,80,71,Trend,Promotion,mean
426,2018-01-26 00:00:00-2018-01-29 00:00:00,301.0,92.13,1204,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.2059482730865287,0.26229016577930053,False,False,0.5402913746074198,121449,45087,80,71,Trend,Promotion,mean
5066,2018-07-26 00:00:00-2018-07-29 00:00:00,50.25,14.24,201,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.1942518509765674,0.26658492628314395,False,False,0.5402913746074198,121449,45087,80,71,Trend,Promotion,mean
3625,2018-03-14 00:00:00-2018-03-17 00:00:00,240.25,44.66,961,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.213785791448778,0.27043544567675487,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
3674,2018-03-14 00:00:00-2018-03-17 00:00:00,240.25,44.66,961,2017-09-27 00:00:00-2017-09-30 00:00:00,319.0,61.39,1276,-1.150934830464374,0.29355178841458773,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
2986,2018-01-29 00:00:00-2018-02-02 00:00:00,280.0,94.77,1400,2017-07-09 00:00:00-2017-07-14 00:00:00,172.67,25.03,1036,-1.0984255718519553,0.3005336040947362,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
5609,2018-09-25 00:00:00-2018-09-27 00:00:00,4.67,2.31,14,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.1215051050676286,0.30494106639029933,False,False,0.5186050164287255,121449,45087,80,71,Trend,Promotion,mean
2265,2018-08-18 00:00:00-2018-08-21 00:00:00,32.75,15.04,131,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.1128225176094033,0.3083713477014621,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
5225,2018-08-07 00:00:00-2018-08-10 00:00:00,62.25,7.27,249,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.1069540427111575,0.31070807075485934,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
425,2018-01-26 00:00:00-2018-01-29 00:00:00,301.0,92.13,1204,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.1015300837797024,0.3128809131744949,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
5065,2018-07-26 00:00:00-2018-07-29 00:00:00,50.25,14.24,201,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.0935844643191437,0.3160867546404,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
1769,2018-06-30 00:00:00-2018-07-02 00:00:00,89.67,26.58,269,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.0917492775199718,0.3168310675080116,False,False,0.5186050164287255,121449,45087,80,71,Trend,Promotion,mean
4649,2018-06-12 00:00:00-2018-06-16 00:00:00,126.4,42.86,632,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.0640005958405003,0.31838675507247166,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
889,2018-03-10 00:00:00-2018-03-12 00:00:00,258.67,41.36,776,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.0735731474312928,0.324281565392401,False,False,0.5186050164287255,121449,45087,80,71,Trend,Promotion,mean
2985,2018-01-29 00:00:00-2018-02-02 00:00:00,280.0,94.77,1400,2017-07-04 00:00:00-2017-07-07 00:00:00,180.75,21.64,723,-1.051859518718706,0.3278139376225174,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
5615,2018-09-25 00:00:00-2018-09-27 00:00:00,4.67,2.31,14,2017-04-13 00:00:00-2017-04-19 00:00:00,261.14,51.28,1828,1.029633416947637,0.3333033314330726,False,False,0.10519250512004134,121449,45087,80,71,Trend,Promotion,mean
2314,2018-08-18 00:00:00-2018-08-21 00:00:00,32.75,15.04,131,2017-09-27 00:00:00-2017-09-30 00:00:00,319.0,61.39,1276,-1.047334628613676,0.3352905127395875,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
3670,2018-03-14 00:00:00-2018-03-17 00:00:00,240.25,44.66,961,2017-08-21 00:00:00-2017-08-24 00:00:00,521.5,75.5,2086,-1.0464018035541278,0.33568745007386924,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
5274,2018-08-07 00:00:00-2018-08-10 00:00:00,62.25,7.27,249,2017-09-27 00:00:00-2017-09-30 00:00:00,319.0,61.39,1276,-1.0413224310032052,0.33785554796079703,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
729,2018-02-27 00:00:00-2018-03-01 00:00:00,308.67,58.05,926,2017-03-10 00:00:00-2017-03-14 00:00:00,300.4,40.32,1502,1.0391112591810432,0.33880292063620493,False,False,0.5186050164287255,121449,45087,80,71,Trend,Promotion,mean
474,2018-01-26 00:00:00-2018-01-29 00:00:00,301.0,92.13,1204,2017-09-27 00:00:00-2017-09-30 00:00:00,319.0,61.39,1276,-1.0365470065012334,0.33990426851098177,False,False,1.0,121449,45087,80,71,Trend,Promotion,mean
