,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
101,2018-01-01 00:00:00-2018-07-14 00:00:00,25.64,10.51,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,34.789909489059795,1.5744996303004996e-137,False,False,2.6370425696909985e-36,121449,45087,25,10,Window_5000,Promotion,mean
201,2018-01-01 00:00:00-2018-10-02 00:00:00,18.18,8.22,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,31.431759490676665,1.094497921625518e-128,False,False,1.387346199993812e-12,121449,45087,25,10,Window_5000,Promotion,mean
126,2018-01-01 00:00:00-2018-08-07 00:00:00,22.83,10.75,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,31.63434888802642,3.999531209848783e-125,False,False,3.6763653504978514e-28,121449,45087,25,10,Window_5000,Promotion,mean
103,2018-01-01 00:00:00-2018-07-14 00:00:00,25.64,10.51,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,31.689962604122513,2.9710602158202116e-123,False,False,1.3991117435817718e-35,121449,45087,25,10,Window_5000,Promotion,mean
51,2018-01-01 00:00:00-2018-06-12 00:00:00,30.67,13.41,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,32.011730273643664,1.1230693082725854e-121,False,False,1.4895415407567216e-47,121449,45087,25,10,Window_5000,Promotion,mean
203,2018-01-01 00:00:00-2018-10-02 00:00:00,18.18,8.22,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,28.431705825168294,4.4350263708808314e-113,False,False,5.956115112632937e-12,121449,45087,25,10,Window_5000,Promotion,mean
76,2018-01-01 00:00:00-2018-06-26 00:00:00,28.25,12.51,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,29.371257314630327,7.52281360582375e-111,False,False,2.65455177172234e-42,121449,45087,25,10,Window_5000,Promotion,mean
128,2018-01-01 00:00:00-2018-08-07 00:00:00,22.83,10.75,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,28.655267387590946,1.474846748720508e-110,False,False,1.8440837951637414e-27,121449,45087,25,10,Window_5000,Promotion,mean
151,2018-01-01 00:00:00-2018-08-24 00:00:00,21.19,9.54,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,28.419990655847485,1.545695758289769e-110,False,False,4.95624890556375e-23,121449,45087,25,10,Window_5000,Promotion,mean
53,2018-01-01 00:00:00-2018-06-12 00:00:00,30.67,13.41,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,29.256885993377832,3.5435148345722467e-109,False,False,8.440918496825994e-47,121449,45087,25,10,Window_5000,Promotion,mean
176,2018-01-01 00:00:00-2018-09-13 00:00:00,19.53,9.38,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,30.92,5000,26.89233716075756,6.304649196377128e-104,False,False,6.409265454041506e-18,121449,45087,25,10,Window_5000,Promotion,mean
78,2018-01-01 00:00:00-2018-06-26 00:00:00,28.25,12.51,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,26.039177952473562,4.8483333029893436e-95,False,False,1.460757706715881e-41,121449,45087,25,10,Window_5000,Promotion,mean
153,2018-01-01 00:00:00-2018-08-24 00:00:00,21.19,9.54,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,24.535078531499238,1.001005331900446e-90,False,False,2.386169871688065e-22,121449,45087,25,10,Window_5000,Promotion,mean
178,2018-01-01 00:00:00-2018-09-13 00:00:00,19.53,9.38,5000,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,18.0,5000,23.15659457393603,1.997336699357127e-84,False,False,2.9401643858031235e-17,121449,45087,25,10,Window_5000,Promotion,mean
236,2018-01-04 00:00:00-2018-10-02 00:00:00,0.32,0.7,87,2017-01-01 00:00:00-2017-11-20 00:00:00,15.43,7.18,5000,-22.487349043214554,1.742131033759645e-81,False,False,7.183527385760993e-95,121449,45087,25,10,Window_5000,Promotion,mean
