result,coverage,p-value,capitalRisk
1,0.5128906574898112,5.01345192050684e-152,1.08857796308482e-11
2,0.5300608729102554,6.585227096556157e-141,1.08857796308482e-11
3,0.5457872411211845,1.0611347838777759e-139,1.08857796308482e-11
4,0.5634266094152874,2.067183651409182e-133,1.08857796308482e-11
5,0.5970041794893122,2.818952531109199e-98,1.08857796308482e-11
6,0.6336474881477169,4.901303309196248e-92,1.08857796308482e-11
7,0.6957628087831655,1.1643367823413005e-53,1.08857796308482e-11
8,0.7776449305497796,1.1583756969675282e-31,1.08857796308482e-11
9,0.8725619645679115,4.610598818541643e-22,1.0885779630387141e-11
10,0.9806932545953588,1.0885779630387141e-11,0.0
