,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
3,2000-11-01,2001-02-28,99719,99719,2000-11-01,2001-02-28,140805,140805,-2.6464476096710237,0.008676841939371049,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
17,2000-11-01,2001-02-28,30070,30070,2000-11-01,2001-02-28,151023,151023,2.5890620687199317,0.010216570495528298,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
2,2000-11-01,2001-02-28,66432,66432,2000-11-01,2001-02-28,151023,151023,2.3508887286645797,0.019545468828697538,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
9,2000-11-01,2001-02-28,24743,24743,2000-11-01,2001-02-28,140805,140805,-2.1182700036328503,0.035189018555960995,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
6,2000-11-01,2001-02-28,53719,53719,2000-11-01,2001-02-28,140805,140805,-2.0995305612579114,0.03682357692709726,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
16,2000-11-01,2001-02-28,30070,30070,2000-11-01,2001-02-28,181213,181213,2.028373647301605,0.04363592739595396,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
4,2000-11-01,2001-02-28,99719,99719,2000-11-01,2001-02-28,181213,181213,-1.936286740823907,0.05401661636750337,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
1,2000-11-01,2001-02-28,66432,66432,2000-11-01,2001-02-28,181213,181213,1.8148950618692195,0.07079882897734086,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
12,2000-11-01,2001-02-28,20302,20302,2000-11-01,2001-02-28,140805,140805,-1.6615785628342739,0.09791390563097854,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
5,2000-11-01,2001-02-28,99719,99719,2000-11-01,2001-02-28,151023,151023,-1.5649401599633417,0.11892557298147848,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
10,2000-11-01,2001-02-28,24743,24743,2000-11-01,2001-02-28,181213,181213,-1.402110370758328,0.1621851936500576,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
7,2000-11-01,2001-02-28,53719,53719,2000-11-01,2001-02-28,181213,181213,-1.3936066405611587,0.16473638992072673,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
15,2000-11-01,2001-02-28,30070,30070,2000-11-01,2001-02-28,140805,140805,1.330733047222777,0.18455037016565828,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
0,2000-11-01,2001-02-28,66432,66432,2000-11-01,2001-02-28,140805,140805,1.131944725006752,0.2587968563902036,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
11,2000-11-01,2001-02-28,24743,24743,2000-11-01,2001-02-28,151023,151023,-0.9990021252714507,0.3188082635188339,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
8,2000-11-01,2001-02-28,53719,53719,2000-11-01,2001-02-28,151023,151023,-0.9953883436599706,0.3205583494785466,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
13,2000-11-01,2001-02-28,20302,20302,2000-11-01,2001-02-28,181213,181213,-0.9501433040044961,0.34300327992586277,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
18,2000-11-01,2001-02-28,27353,27353,2000-11-01,2001-02-28,140805,140805,-0.909896796765284,0.36379748493597563,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
14,2000-11-01,2001-02-28,20302,20302,2000-11-01,2001-02-28,151023,151023,-0.525522629564804,0.59970919095265,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
20,2000-11-01,2001-02-28,27353,27353,2000-11-01,2001-02-28,151023,151023,0.29763051411826114,0.7662448164494176,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
19,2000-11-01,2001-02-28,27353,27353,2000-11-01,2001-02-28,181213,181213,-0.18026445232596824,0.8570983561205805,False,False,1.0,473041,344700,3,7,Demographics,Demographics,mean
