,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
990,2001-01-05,2001-01-08,6424,6424,2001-01-05,2001-01-14,33759,33759,1.765798924301662,0.1028353617081274,False,False,0.022478873366125265,473041,344700,61,62,Trend,Demographics,mean
988,2001-01-05,2001-01-08,6424,6424,2000-12-22,2001-01-02,32820,32820,1.688365337429222,0.11348119601960674,False,True,0.00375221010087385,473041,344700,61,62,Trend,Demographics,mean
2027,2000-11-25,2000-11-27,14253,14253,2001-01-05,2001-01-14,33759,33759,1.4479490564028878,0.17552685101448623,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
319,2000-11-24,2000-11-26,14678,14678,2001-01-05,2001-01-14,33759,33759,1.440370573521005,0.17761259689428419,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
2025,2000-11-25,2000-11-27,14253,14253,2000-12-22,2001-01-02,32820,32820,1.382753382479636,0.19003243901192454,False,True,0.0010477304368441858,473041,344700,61,62,Trend,Demographics,mean
1530,2001-02-16,2001-02-25,32231,32231,2000-11-27,2000-11-30,14370,14370,-1.3828365947345809,0.19190621380580922,False,False,0.022478873366125265,473041,344700,61,62,Trend,Demographics,mean
2759,2000-12-31,2001-01-03,12851,12851,2001-01-05,2001-01-14,33759,33759,1.3814968984999485,0.1923069722254869,False,False,0.022478873366125265,473041,344700,61,62,Trend,Demographics,mean
317,2000-11-24,2000-11-26,14678,14678,2000-12-22,2001-01-02,32820,32820,1.3746107116851316,0.19248436946286474,False,True,0.0010477304368441858,473041,344700,61,62,Trend,Demographics,mean
2576,2000-12-20,2000-12-22,965,965,2001-01-05,2001-01-14,33759,33759,1.3684696718596514,0.198464711843893,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
258,2000-11-21,2000-11-23,8190,8190,2001-01-05,2001-01-14,33759,33759,1.3648719941038547,0.1995597724969177,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
1173,2001-01-19,2001-01-22,27882,27882,2001-01-05,2001-01-14,33759,33759,1.328494698992011,0.2087261180629908,False,False,0.022478873366125265,473041,344700,61,62,Trend,Demographics,mean
2757,2000-12-31,2001-01-03,12851,12851,2000-12-22,2001-01-02,32820,32820,1.3054825679887823,0.21277586609812105,False,True,0.00375221010087385,473041,344700,61,62,Trend,Demographics,mean
502,2000-12-01,2000-12-03,10718,10718,2001-01-05,2001-01-14,33759,33759,1.3113801946052028,0.21644206453055234,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
2574,2000-12-20,2000-12-22,965,965,2000-12-22,2001-01-02,32820,32820,1.2978882395294324,0.21688221390598283,False,True,0.0010477304368441858,473041,344700,61,62,Trend,Demographics,mean
256,2000-11-21,2000-11-23,8190,8190,2000-12-22,2001-01-02,32820,32820,1.2940732068140348,0.21815778845812472,False,True,0.0010477304368441858,473041,344700,61,62,Trend,Demographics,mean
14,2000-11-01,2000-11-05,16702,16702,2001-01-05,2001-01-14,33759,33759,1.2884632769038689,0.2200444381773159,False,False,0.06076123666389822,473041,344700,61,62,Trend,Demographics,mean
2210,2000-12-02,2000-12-04,10899,10899,2001-01-05,2001-01-14,33759,33759,1.2951549703941447,0.22178916187808667,False,False,0.00700094198944864,473041,344700,61,62,Trend,Demographics,mean
1171,2001-01-19,2001-01-22,27882,27882,2000-12-22,2001-01-02,32820,32820,1.247509885355937,0.23267544606051546,False,True,0.00375221010087385,473041,344700,61,62,Trend,Demographics,mean
