,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
38,40-44,2001-02-28,43545,43545,<25,2001-01-24,21238,21238,15.527527483117192,2.168629637782064e-30,True,True,1.373368792577e-14,586249,233952,10,10,Demographics,Promotion,mean
48,45-49,2001-02-28,28443,28443,<25,2001-01-24,21238,21238,12.6273896390502,1.0331662962995493e-23,True,True,1.373368792577e-14,586249,233952,10,10,Demographics,Promotion,mean
94,>65,2001-02-28,7590,7590,45-49,2001-01-24,71651,71651,5.578973722765426,1.542525645474925e-07,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
58,50-54,2001-02-28,14750,14750,<25,2001-01-24,21238,21238,5.418923962308965,3.179560388652547e-07,True,True,1.373368792577e-14,586249,233952,10,10,Demographics,Promotion,mean
96,>65,2001-02-28,7590,7590,55-59,2001-01-24,17730,17730,5.3382532344859275,4.5583728460430203e-07,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
95,>65,2001-02-28,7590,7590,50-54,2001-01-24,39163,39163,5.021173161767771,1.8231283650674865e-06,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
97,>65,2001-02-28,7590,7590,60-64,2001-01-24,14574,14574,4.916786866127245,2.846513935991555e-06,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
84,<25,2001-02-28,9010,9010,45-49,2001-01-24,71651,71651,4.6928164218292805,7.2647645335140426e-06,False,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
99,>65,2001-02-28,7590,7590,>65,2001-01-24,19817,19817,4.512478114338206,1.5147895651967682e-05,True,False,5.1532513688099895e-15,586249,233952,10,10,Demographics,Promotion,mean
93,>65,2001-02-28,7590,7590,40-44,2001-01-24,107994,107994,4.504036115874214,1.5671112521368402e-05,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
86,<25,2001-02-28,9010,9010,55-59,2001-01-24,17730,17730,4.4375788986346905,2.0444949744782022e-05,False,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
64,55-59,2001-02-28,7067,7067,45-49,2001-01-24,71651,71651,4.414945294738923,2.2370159610821153e-05,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
66,55-59,2001-02-28,7067,7067,55-59,2001-01-24,17730,17730,4.171957657633742,5.7691793802709193e-05,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
85,<25,2001-02-28,9010,9010,50-54,2001-01-24,39163,39163,4.147948492363412,6.323304943210806e-05,False,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
34,40-44,2001-02-28,43545,43545,45-49,2001-01-24,71651,71651,4.111802924094504,7.254757545502975e-05,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
87,<25,2001-02-28,9010,9010,60-64,2001-01-24,14574,14574,4.034303584001964,9.714376432237332e-05,False,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
92,>65,2001-02-28,7590,7590,35-39,2001-01-24,129315,129315,4.018614192042543,0.00010301216315318536,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
44,45-49,2001-02-28,28443,28443,45-49,2001-01-24,71651,71651,4.003106357340178,0.00010914463247514528,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
65,55-59,2001-02-28,7067,7067,50-54,2001-01-24,39163,39163,3.92412358881182,0.0001461845051532138,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
36,40-44,2001-02-28,43545,43545,55-59,2001-01-24,17730,17730,3.8590808081667007,0.00018540682991904722,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
67,55-59,2001-02-28,7067,7067,60-64,2001-01-24,14574,14574,3.8143751306440534,0.00021797065893062526,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
54,50-54,2001-02-28,14750,14750,45-49,2001-01-24,71651,71651,3.8030367476670697,0.00022705572415842587,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
46,45-49,2001-02-28,28443,28443,55-59,2001-01-24,17730,17730,3.748813509651561,0.00027570616419345215,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
83,<25,2001-02-28,9010,9010,40-44,2001-01-24,107994,107994,3.642038926593731,0.00040183637530262245,False,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
35,40-44,2001-02-28,43545,43545,50-54,2001-01-24,39163,39163,3.6104750469682285,0.00044852804092930087,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
89,<25,2001-02-28,9010,9010,>65,2001-01-24,19817,19817,3.5958327634585325,0.00047188782940086146,False,False,5.1532513688099895e-15,586249,233952,10,10,Demographics,Promotion,mean
91,>65,2001-02-28,7590,7590,30-34,2001-01-24,100965,100965,3.539500016641986,0.0005729145802645096,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
56,50-54,2001-02-28,14750,14750,55-59,2001-01-24,17730,17730,3.5345814378663434,0.0005826427776609253,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
45,45-49,2001-02-28,28443,28443,50-54,2001-01-24,39163,39163,3.5035903798664765,0.0006476118172797325,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
37,40-44,2001-02-28,43545,43545,60-64,2001-01-24,14574,14574,3.4956787615082074,0.0006652588041457684,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
63,55-59,2001-02-28,7067,7067,40-44,2001-01-24,107994,107994,3.464380277838464,0.0007396062206884944,True,False,9.469734945907376e-16,586249,233952,10,10,Demographics,Promotion,mean
78,60-64,2001-02-28,5858,5858,<25,2001-01-24,21238,21238,-3.409549785000311,0.0008890118500128592,True,True,1.373368792577e-14,586249,233952,10,10,Demographics,Promotion,mean
