,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
3,2001-01-24,2001-01-28,20954,20954,2000-12-18,2001-01-07,78474,78474,1.4999029034887243,0.14668065962136584,False,False,2.9100048307229753e-06,586249,233952,5,3,Window_3W,Promotion,mean
5,2001-01-29,2001-02-18,140358,140358,2000-11-01,2000-11-05,41193,41193,-1.261518847275514,0.21924600691688945,True,False,2.9100048307229753e-06,586249,233952,5,3,Window_3W,Promotion,mean
1,2001-01-24,2001-01-28,20954,20954,2000-11-06,2000-11-26,157130,157130,1.2274121618857088,0.2315714268096669,False,True,2.9100048307229753e-06,586249,233952,5,3,Window_3W,Promotion,mean
2,2001-01-24,2001-01-28,20954,20954,2000-11-27,2000-12-17,154348,154348,1.2102755636348757,0.23795853093993222,False,True,2.9100048307229753e-06,586249,233952,5,3,Window_3W,Promotion,mean
10,2001-02-19,2001-02-28,72640,72640,2000-11-01,2000-11-05,41193,41193,-1.1594948597096808,0.2671085624804439,True,False,0.06076123666389822,586249,233952,5,3,Window_3W,Promotion,mean
4,2001-01-24,2001-01-28,20954,20954,2001-01-08,2001-01-24,155104,155104,0.8491565921179528,0.40584405807477064,False,True,0.00012652495621728912,586249,233952,5,3,Window_3W,Promotion,mean
6,2001-01-29,2001-02-18,140358,140358,2000-11-06,2000-11-26,157130,157130,-0.8357561962821507,0.4082567935584388,True,True,1.0,586249,233952,5,3,Window_3W,Promotion,mean
7,2001-01-29,2001-02-18,140358,140358,2000-11-27,2000-12-17,154348,154348,-0.8005474765187195,0.4281230619206734,True,True,1.0,586249,233952,5,3,Window_3W,Promotion,mean
8,2001-01-29,2001-02-18,140358,140358,2000-12-18,2001-01-07,78474,78474,0.44627063217232193,0.6578083793176345,True,False,1.0,586249,233952,5,3,Window_3W,Promotion,mean
13,2001-02-19,2001-02-28,72640,72640,2000-12-18,2001-01-07,78474,78474,0.39967760315074086,0.6923225680308693,True,False,0.0008445931727777272,586249,233952,5,3,Window_3W,Promotion,mean
0,2001-01-24,2001-01-28,20954,20954,2000-11-01,2000-11-05,41193,41193,-0.0796137600860552,0.9384999543083188,False,False,1.0,586249,233952,5,3,Window_3W,Promotion,mean
