,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
159,2001-02-21,2001-02-24,28329,28329,2000-11-21,2000-11-24,25640,25640,-1.128094657797294,0.3023591025353239,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
79,2001-02-05,2001-02-08,21641,21641,2000-12-23,2000-12-26,8296,8296,1.113854474184553,0.30796196290904065,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
27,2001-01-28,2001-01-31,20334,20334,2000-11-21,2000-11-24,25640,25640,-1.0762644847078284,0.32316933750460697,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
74,2001-02-05,2001-02-08,21641,21641,2000-12-03,2000-12-06,28179,28179,1.0478159056992342,0.33508586840017235,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
154,2001-02-21,2001-02-24,28329,28329,2000-11-01,2000-11-04,26556,26556,-0.9958769345832175,0.35776153909959313,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
22,2001-01-28,2001-01-31,20334,20334,2000-11-01,2000-11-04,26556,26556,-0.9411987138526452,0.38293522658816476,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
67,2001-02-05,2001-02-08,21641,21641,2000-11-05,2000-11-08,30996,30996,0.9053208030109481,0.4001869956873963,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
70,2001-02-05,2001-02-08,21641,21641,2000-11-17,2000-11-20,28089,28089,0.8676973686659821,0.41890626315567103,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
164,2001-02-21,2001-02-24,28329,28329,2000-12-11,2000-12-14,22508,22508,-0.8614307009298372,0.42208678295143515,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
174,2001-02-21,2001-02-24,28329,28329,2001-01-20,2001-01-23,65130,65130,-0.8460437944449143,0.42997192198545275,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
173,2001-02-21,2001-02-24,28329,28329,2001-01-16,2001-01-19,33864,33864,-0.8442450705742155,0.4309007256381279,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
181,2001-02-25,2001-02-28,31777,31777,2000-11-21,2000-11-24,25640,25640,-0.8141474603130948,0.44666040472832935,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
32,2001-01-28,2001-01-31,20334,20334,2000-12-11,2000-12-14,22508,22508,-0.8077372718811859,0.4500700366981839,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
115,2001-02-13,2001-02-16,23725,23725,2000-11-21,2000-11-24,25640,25640,-0.7981554932185537,0.45520138951329037,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
42,2001-01-28,2001-01-31,20334,20334,2001-01-20,2001-01-23,65130,65130,-0.7920621294212321,0.45848620389732986,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
41,2001-01-28,2001-01-31,20334,20334,2001-01-16,2001-01-19,33864,33864,-0.7890377310951866,0.4601228337372404,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
137,2001-02-17,2001-02-20,30472,30472,2000-11-21,2000-11-24,25640,25640,-0.7768028067338459,0.46678582506638144,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
169,2001-02-21,2001-02-24,28329,28329,2000-12-31,2001-01-03,30861,30861,-0.7551401267113287,0.47874840879834846,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
77,2001-02-05,2001-02-08,21641,21641,2000-12-15,2000-12-18,36421,36421,0.7452702188929853,0.4842685958090446,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
73,2001-02-05,2001-02-08,21641,21641,2000-11-29,2000-12-02,27542,27542,0.7432324551114913,0.4854137320898322,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
69,2001-02-05,2001-02-08,21641,21641,2000-11-13,2000-11-16,19506,19506,0.7390830744293959,0.48775123782228313,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
84,2001-02-05,2001-02-08,21641,21641,2001-01-12,2001-01-15,36403,36403,0.7279131044750231,0.4940818349002831,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
68,2001-02-05,2001-02-08,21641,21641,2000-11-09,2000-11-12,37980,37980,0.702363806417908,0.5087699000060717,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
37,2001-01-28,2001-01-31,20334,20334,2000-12-31,2001-01-03,30861,30861,-0.6988876343837088,0.5107905659482093,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
176,2001-02-25,2001-02-28,31777,31777,2000-11-01,2000-11-04,26556,26556,-0.6760521625579649,0.5241960448247328,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
110,2001-02-13,2001-02-16,23725,23725,2000-11-01,2000-11-04,26556,26556,-0.6529169494238672,0.5380081724560484,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
5,2001-01-24,2001-01-27,14579,14579,2000-11-21,2000-11-24,25640,25640,-0.6398998474024028,0.5458805505284304,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
132,2001-02-17,2001-02-20,30472,30472,2000-11-01,2000-11-04,26556,26556,-0.6335424950465204,0.5497514846601897,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
93,2001-02-09,2001-02-12,31874,31874,2000-11-21,2000-11-24,25640,25640,-0.6325199402534535,0.5503757060930543,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
80,2001-02-05,2001-02-08,21641,21641,2000-12-27,2000-12-30,20097,20097,0.6193751760169808,0.5584391897113969,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
82,2001-02-05,2001-02-08,21641,21641,2001-01-04,2001-01-07,11157,11157,0.5981449022585101,0.5716150154696447,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
78,2001-02-05,2001-02-08,21641,21641,2000-12-19,2000-12-22,2151,2151,0.5863024451264222,0.579045428128443,False,False,1.0,586249,233952,22,9,Window_4D,Promotion,mean
