,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
335,2001-01-24,2001-01-30,5000,5000,2001-01-01,2001-01-18,5000,5000,3.728704746165286,0.0011006991584868162,False,False,0.3143046604738511,586249,233952,118,47,Window_5000,Promotion,mean
3639,2001-02-16,2001-02-19,5000,5000,2001-01-01,2001-01-18,5000,5000,3.700418933736953,0.0014158367757690295,False,False,0.037348521030110146,586249,233952,118,47,Window_5000,Promotion,mean
314,2001-01-24,2001-01-30,5000,5000,2000-12-29,2001-01-16,5000,5000,3.332937138952942,0.002779006420368785,False,False,1.0,586249,233952,118,47,Window_5000,Promotion,mean
317,2001-01-24,2001-01-30,5000,5000,2000-12-31,2001-01-16,5000,5000,3.3267412853938874,0.003061408805788724,False,False,0.43688727610282685,586249,233952,118,47,Window_5000,Promotion,mean
5291,2001-02-26,2001-02-28,5000,5000,2001-01-01,2001-01-18,5000,5000,3.3238119127938215,0.0035685963309178884,False,False,0.01332832878081758,586249,233952,118,47,Window_5000,Promotion,mean
279,2001-01-24,2001-01-30,5000,5000,2000-11-27,2000-12-13,5000,5000,3.2539575607139346,0.003637937350976259,False,False,0.0012386274764550984,586249,233952,118,47,Window_5000,Promotion,mean
3618,2001-02-16,2001-02-19,5000,5000,2000-12-29,2001-01-16,5000,5000,3.2699734846285606,0.0036572323732752235,False,False,0.44538271250495,586249,233952,118,47,Window_5000,Promotion,mean
3621,2001-02-16,2001-02-19,5000,5000,2000-12-31,2001-01-16,5000,5000,3.2762708127173177,0.003971987766836783,False,False,1.0,586249,233952,118,47,Window_5000,Promotion,mean
330,2001-01-24,2001-01-30,5000,5000,2001-01-01,2001-01-15,5000,5000,3.230508908326154,0.004193529167246531,False,False,0.4652088184521417,586249,233952,118,47,Window_5000,Promotion,mean
3583,2001-02-16,2001-02-19,5000,5000,2000-11-27,2000-12-13,5000,5000,3.2256806734154906,0.004450289322871002,False,False,3.40185571161713e-05,586249,233952,118,47,Window_5000,Promotion,mean
334,2001-01-24,2001-01-30,5000,5000,2001-01-01,2001-01-14,5000,5000,3.183838620029194,0.00488803678251635,False,False,0.015186198557064538,586249,233952,118,47,Window_5000,Promotion,mean
3634,2001-02-16,2001-02-19,5000,5000,2001-01-01,2001-01-15,5000,5000,3.216526615934206,0.005064178483953759,False,False,0.062407418568705554,586249,233952,118,47,Window_5000,Promotion,mean
280,2001-01-24,2001-01-30,5000,5000,2000-11-29,2000-12-13,5000,5000,3.108912534438034,0.005531903311306359,False,False,1.0,586249,233952,118,47,Window_5000,Promotion,mean
315,2001-01-24,2001-01-30,5000,5000,2000-12-31,2001-01-16,5000,5000,3.05192071607479,0.005845351643352917,False,False,0.0147172861170763,586249,233952,118,47,Window_5000,Promotion,mean
4583,2001-02-21,2001-02-25,5000,5000,2001-01-01,2001-01-18,5000,5000,3.064240890346377,0.005888033113883,False,False,0.0873752803407674,586249,233952,118,47,Window_5000,Promotion,mean
3638,2001-02-16,2001-02-19,5000,5000,2001-01-01,2001-01-14,5000,5000,3.1655102700562563,0.005996772153176538,False,False,0.0005883437887651408,586249,233952,118,47,Window_5000,Promotion,mean
5173,2001-02-25,2001-02-28,5000,5000,2001-01-01,2001-01-18,5000,5000,3.048045474807149,0.006349307208380306,False,False,0.037348521030110146,586249,233952,118,47,Window_5000,Promotion,mean
333,2001-01-24,2001-01-30,5000,5000,2001-01-01,2001-01-17,5000,5000,3.011026202299802,0.006428158590203222,False,False,0.0047540656801357975,586249,233952,118,47,Window_5000,Promotion,mean
838,2001-01-29,2001-02-13,5000,5000,2000-11-07,2000-11-11,5000,5000,-3.057436356305693,0.006480957786647825,False,False,0.7029175632453667,586249,233952,118,47,Window_5000,Promotion,mean
3584,2001-02-16,2001-02-19,5000,5000,2000-11-29,2000-12-13,5000,5000,3.0851488297034018,0.006714787017079377,False,False,0.6797081543484926,586249,233952,118,47,Window_5000,Promotion,mean
3619,2001-02-16,2001-02-19,5000,5000,2000-12-31,2001-01-16,5000,5000,2.9809625738336494,0.007678443060468588,False,False,0.0006036441981334306,586249,233952,118,47,Window_5000,Promotion,mean
5270,2001-02-26,2001-02-28,5000,5000,2000-12-29,2001-01-16,5000,5000,2.9598708429627516,0.007743695703127175,False,False,0.23258217758213187,586249,233952,118,47,Window_5000,Promotion,mean
5273,2001-02-26,2001-02-28,5000,5000,2000-12-31,2001-01-16,5000,5000,2.955189950716854,0.008470807340856808,False,False,1.0,586249,233952,118,47,Window_5000,Promotion,mean
3637,2001-02-16,2001-02-19,5000,5000,2001-01-01,2001-01-17,5000,5000,2.9361189164925166,0.00847740744163999,False,False,0.00015713508042382087,586249,233952,118,47,Window_5000,Promotion,mean
602,2001-01-27,2001-02-13,5000,5000,2000-11-07,2000-11-11,5000,5000,-2.8969984418105263,0.008623123536892598,False,False,0.7098152665657174,586249,233952,118,47,Window_5000,Promotion,mean
331,2001-01-24,2001-01-30,5000,5000,2001-01-01,2001-01-15,5000,5000,2.9046946741619877,0.008761700754204687,False,False,0.7143930376343263,586249,233952,118,47,Window_5000,Promotion,mean
5235,2001-02-26,2001-02-28,5000,5000,2000-11-27,2000-12-13,5000,5000,2.913192648784907,0.009277128491632432,False,False,7.943623053132743e-06,586249,233952,118,47,Window_5000,Promotion,mean
297,2001-01-24,2001-01-30,5000,5000,2000-12-01,2000-12-14,5000,5000,2.8763034751333527,0.009668784258846102,False,False,1.0,586249,233952,118,47,Window_5000,Promotion,mean
298,2001-01-24,2001-01-30,5000,5000,2000-12-01,2000-12-14,5000,5000,2.8618226122413453,0.00998056925753182,False,False,0.04860657067343558,586249,233952,118,47,Window_5000,Promotion,mean
5409,2001-02-26,2001-02-28,5000,5000,2001-01-01,2001-01-18,5000,5000,2.8583453659665605,0.010056863766177569,False,False,0.01332832878081758,586249,233952,118,47,Window_5000,Promotion,mean
3635,2001-02-16,2001-02-19,5000,5000,2001-01-01,2001-01-15,5000,5000,2.884724300331983,0.010290203142114283,False,False,0.12965330542364764,586249,233952,118,47,Window_5000,Promotion,mean
5286,2001-02-26,2001-02-28,5000,5000,2001-01-01,2001-01-15,5000,5000,2.8936521779424753,0.010579444963400174,False,False,0.02301378749791132,586249,233952,118,47,Window_5000,Promotion,mean
4111,2001-02-19,2001-02-21,5000,5000,2001-01-01,2001-01-18,5000,5000,2.8276328969575424,0.010755494490479897,False,False,0.01332832878081758,586249,233952,118,47,Window_5000,Promotion,mean
3602,2001-02-16,2001-02-19,5000,5000,2000-12-01,2000-12-14,5000,5000,2.8550942251474853,0.011459512916690841,False,False,0.0024337498079865395,586249,233952,118,47,Window_5000,Promotion,mean
