,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
7,2001-01-24,2001-01-28,20954,20954,2000-12-18,2000-12-24,9940,9940,1.3946419611972791,0.19332879736093278,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
52,2001-02-19,2001-02-25,53777,53777,2000-11-01,2000-11-05,41193,41193,-1.2841905510506457,0.22802879489041084,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
2,2001-01-24,2001-01-28,20954,20954,2000-11-13,2000-11-19,43338,43338,1.100080065553765,0.297073579339818,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
46,2001-02-12,2001-02-18,46264,46264,2000-12-18,2000-12-24,9940,9940,1.0707847005954652,0.30533078281041975,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
26,2001-02-05,2001-02-11,48914,48914,2000-11-01,2000-11-05,41193,41193,-1.0326908627887192,0.3260773244349664,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
13,2001-01-29,2001-02-04,45180,45180,2000-11-01,2000-11-05,41193,41193,-0.9920643450206873,0.3445637926239614,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
10,2001-01-24,2001-01-28,20954,20954,2001-01-08,2001-01-14,48477,48477,0.956791533405755,0.36123138298354307,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
9,2001-01-24,2001-01-28,20954,20954,2001-01-01,2001-01-07,29307,29307,0.8970128450578826,0.3907960002635492,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
60,2001-02-19,2001-02-25,53777,53777,2000-12-25,2000-12-31,39227,39227,-0.810595779843501,0.4333801327663849,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
5,2001-01-24,2001-01-28,20954,20954,2000-12-04,2000-12-10,48801,48801,0.8083658986196178,0.4376880079006047,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
53,2001-02-19,2001-02-25,53777,53777,2000-11-06,2000-11-12,54339,54339,-0.7968396677310146,0.44102532514494175,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
6,2001-01-24,2001-01-28,20954,20954,2000-12-11,2000-12-17,53017,53017,0.7688442166837043,0.4597587698986769,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
64,2001-02-19,2001-02-25,53777,53777,2001-01-22,2001-01-24,32843,32843,-0.7579608775305645,0.47021054307946775,False,False,0.10519250512004134,586249,233952,13,6,Window_W,Promotion,mean
11,2001-01-24,2001-01-28,20954,20954,2001-01-15,2001-01-21,73784,73784,0.7453519176251823,0.4732139075705848,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
4,2001-01-24,2001-01-28,20954,20954,2000-11-27,2000-12-03,52530,52530,0.7314425194342121,0.48129740517092745,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
41,2001-02-12,2001-02-18,46264,46264,2000-11-13,2000-11-19,43338,43338,0.7083203723198357,0.49227671869965084,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
39,2001-02-12,2001-02-18,46264,46264,2000-11-01,2000-11-05,41193,41193,-0.6813468170173276,0.5111217368019818,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
55,2001-02-19,2001-02-25,53777,53777,2000-11-20,2000-11-26,59453,59453,-0.6315081151504514,0.5395520696676426,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
38,2001-02-05,2001-02-11,48914,48914,2001-01-22,2001-01-24,32843,32843,-0.5714163394100459,0.5834101957309676,False,False,0.10519250512004134,586249,233952,13,6,Window_W,Promotion,mean
49,2001-02-12,2001-02-18,46264,46264,2001-01-08,2001-01-14,48477,48477,0.5520856677954143,0.5910237850578213,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
33,2001-02-05,2001-02-11,48914,48914,2000-12-18,2000-12-24,9940,9940,0.5470367073393461,0.5943806679750427,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
72,2001-02-26,2001-02-28,18863,18863,2000-12-18,2000-12-24,9940,9940,0.5543603955135323,0.5944857921130559,False,False,0.10519250512004134,586249,233952,13,6,Window_W,Promotion,mean
25,2001-01-29,2001-02-04,45180,45180,2001-01-22,2001-01-24,32843,32843,-0.551473069940593,0.596372074059393,False,False,0.10519250512004134,586249,233952,13,6,Window_W,Promotion,mean
65,2001-02-26,2001-02-28,18863,18863,2000-11-01,2000-11-05,41193,41193,-0.5588762103135314,0.5964721022877516,False,False,0.5186050164287255,586249,233952,13,6,Window_W,Promotion,mean
3,2001-01-24,2001-01-28,20954,20954,2000-11-20,2000-11-26,59453,59453,0.5345020354563081,0.6046735735133615,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
27,2001-02-05,2001-02-11,48914,48914,2000-11-06,2000-11-12,54339,54339,-0.5307650438937443,0.605265633605319,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
34,2001-02-05,2001-02-11,48914,48914,2000-12-25,2000-12-31,39227,39227,-0.529534679493452,0.6060927786953945,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
14,2001-01-29,2001-02-04,45180,45180,2000-11-06,2000-11-12,54339,54339,-0.5211192626351651,0.6117655205616029,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
8,2001-01-24,2001-01-28,20954,20954,2000-12-25,2000-12-31,39227,39227,0.5234874829902723,0.6120380524589794,False,False,0.5541131300694455,586249,233952,13,6,Window_W,Promotion,mean
21,2001-01-29,2001-02-04,45180,45180,2000-12-25,2000-12-31,39227,39227,-0.5182331072580405,0.6137171444121761,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
20,2001-01-29,2001-02-04,45180,45180,2000-12-18,2000-12-24,9940,9940,0.5077996045808891,0.6207980362680121,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
63,2001-02-19,2001-02-25,53777,53777,2001-01-15,2001-01-21,73784,73784,-0.4914341909463358,0.6319848867806666,False,False,1.0,586249,233952,13,6,Window_W,Promotion,mean
