,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
78,2000-11-05 00:00:00-2001-02-27 00:00:00,37.43,84.18,4304,2000-11-01 00:00:00-2001-02-25 00:00:00,185.62,167.38,21717,-7.505452596131871,2.047421596851472e-12,False,True,5.917083283576378e-11,622149,196044,10,10,Demographics,Trend,mean
70,2000-11-05 00:00:00-2001-02-27 00:00:00,37.43,84.18,4304,2000-11-01 00:00:00-2001-02-25 00:00:00,420.32,387.61,49178,-7.518042418517267,2.079089907494137e-12,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
60,2000-11-05 00:00:00-2001-02-27 00:00:00,49.85,111.87,5733,2000-11-01 00:00:00-2001-02-25 00:00:00,420.32,387.61,49178,-7.384570175728396,4.348039743008913e-12,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
68,2000-11-05 00:00:00-2001-02-27 00:00:00,49.85,111.87,5733,2000-11-01 00:00:00-2001-02-25 00:00:00,185.62,167.38,21717,-7.364968871085235,4.494087582915216e-12,False,True,5.917083283576378e-11,622149,196044,10,10,Demographics,Trend,mean
40,2000-11-05 00:00:00-2001-02-27 00:00:00,208.37,483.55,23963,2000-11-01 00:00:00-2001-02-25 00:00:00,420.32,387.61,49178,-7.347581168673709,5.1776709412872976e-12,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
48,2000-11-05 00:00:00-2001-02-27 00:00:00,208.37,483.55,23963,2000-11-01 00:00:00-2001-02-25 00:00:00,185.62,167.38,21717,-7.324705037349623,5.477218840861365e-12,False,True,5.917083283576378e-11,622149,196044,10,10,Demographics,Trend,mean
90,2000-11-05 00:00:00-2001-02-27 00:00:00,52.39,111.52,6025,2000-11-01 00:00:00-2001-02-25 00:00:00,420.32,387.61,49178,-7.241471904279141,1.0012627864828692e-11,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
98,2000-11-05 00:00:00-2001-02-27 00:00:00,52.39,111.52,6025,2000-11-01 00:00:00-2001-02-25 00:00:00,185.62,167.38,21717,-7.216542399669897,1.0719956195504206e-11,False,True,5.917083283576378e-11,622149,196044,10,10,Demographics,Trend,mean
50,2000-11-05 00:00:00-2001-02-27 00:00:00,108.23,239.5,12446,2000-11-01 00:00:00-2001-02-25 00:00:00,420.32,387.61,49178,-7.169942606578421,1.435459327716491e-11,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
79,2000-11-05 00:00:00-2001-02-27 00:00:00,37.43,84.18,4304,2000-11-01 00:00:00-2001-02-25 00:00:00,172.73,153.89,20209,-7.138336853866622,1.5408043949614927e-11,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
58,2000-11-05 00:00:00-2001-02-27 00:00:00,108.23,239.5,12446,2000-11-01 00:00:00-2001-02-25 00:00:00,185.62,167.38,21717,-7.1398355381232665,1.5929085302160397e-11,False,True,5.917083283576378e-11,622149,196044,10,10,Demographics,Trend,mean
69,2000-11-05 00:00:00-2001-02-27 00:00:00,49.85,111.87,5733,2000-11-01 00:00:00-2001-02-25 00:00:00,172.73,153.89,20209,-6.987134992861207,3.5933675100802414e-11,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
49,2000-11-05 00:00:00-2001-02-27 00:00:00,208.37,483.55,23963,2000-11-01 00:00:00-2001-02-25 00:00:00,172.73,153.89,20209,-6.943339640157977,4.503534886384691e-11,False,False,2.4884601748930146e-11,622149,196044,10,10,Demographics,Trend,mean
