,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
56,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.9879893865994395,0.361351380986166,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
33,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.9586446262288828,0.37483357627731767,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
146,2000-12-31 00:00:00-2001-01-03 00:00:00,7715.25,5202.56,30861,2000-12-22 00:00:00-2000-12-26 00:00:00,1751.6,2042.69,8758,0.9558267880663391,0.3753607364502119,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
123,2000-12-20 00:00:00-2000-12-22 00:00:00,572.33,103.02,1717,2000-12-22 00:00:00-2000-12-26 00:00:00,1751.6,2042.69,8758,0.8063995253495954,0.4692449633931649,False,False,0.5186050164287255,622149,196044,23,10,Trend,Trend,mean
217,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.7968535626849802,0.47186862268759555,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
66,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.796157094334874,0.4732083888843866,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
43,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.770673055658373,0.486913645076449,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
79,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.7602041401564206,0.4901859922102942,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
60,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-01-19 00:00:00-2001-01-22 00:00:00,16292.25,5730.15,65169,-0.7310008452960892,0.49253627393066657,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
37,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2001-01-19 00:00:00-2001-01-22 00:00:00,16292.25,5730.15,65169,-0.700844371166785,0.5099142343336198,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
49,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.7162944738629129,0.514126180890373,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
10,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.7074850988193829,0.5180072132043639,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
194,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-01-05 00:00:00-2001-01-08 00:00:00,3680.75,1788.16,14723,-0.7074850988193829,0.5180072132043639,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
50,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.6896134054380696,0.5286518659349955,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
26,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.6895920912457236,0.5294194838375543,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
227,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.6856027608285425,0.5306347662188511,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
61,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,-0.6643842349113988,0.5313718826995141,False,False,0.5402913746074198,622149,196044,23,10,Trend,Trend,mean
46,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-0.6562086654126756,0.53705336422609,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
27,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2000-11-24 00:00:00-2000-11-26 00:00:00,12141.0,4642.58,36423,-0.662562724593655,0.5444536592596544,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
64,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,-0.639485995441699,0.546266674796953,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
89,2000-12-03 00:00:00-2000-12-05 00:00:00,7528.0,4370.3,22584,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.6505233737081253,0.5508509691627039,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
38,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2001-01-24 00:00:00-2001-01-29 00:00:00,4289.17,1736.72,25735,-0.6284779897096829,0.5528376633979635,False,False,0.5402913746074198,622149,196044,23,10,Trend,Trend,mean
23,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-0.6202467791850395,0.5586599074642724,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
41,2000-11-05 00:00:00-2000-11-08 00:00:00,7749.0,4725.02,30996,2001-02-12 00:00:00-2001-02-15 00:00:00,5738.5,882.43,22954,-0.6064380861382369,0.5665339326668827,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
210,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-21 00:00:00-2000-11-23 00:00:00,6257.67,1673.15,18773,-0.6110676757483418,0.574291502890828,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
63,2000-11-14 00:00:00-2000-11-17 00:00:00,4693.5,598.51,18774,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,-0.6046384829300987,0.5774984598933557,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
20,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.6014296702546185,0.5800864680238464,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
204,2001-01-28 00:00:00-2001-01-30 00:00:00,5211.67,1018.73,15635,2001-02-19 00:00:00-2001-02-21 00:00:00,6345.0,280.66,19035,-0.6014296702546185,0.5800864680238464,False,False,1.0,622149,196044,23,10,Trend,Trend,mean
