,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
1081,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-11-19 00:00:00-2000-11-24 00:00:00,1666.67,1395.34,10000,-3.6175591626117205,0.000981843869882982,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1093,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-12-14 00:00:00-2000-12-16 00:00:00,3333.33,2327.53,10000,-3.476667773894412,0.001571084674966033,False,False,0.6663533091466043,622149,196044,63,20,Window_10000,Trend,mean
1102,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-01-10 00:00:00-2001-01-16 00:00:00,1428.57,1181.33,10000,-3.389882030291794,0.0017849627864290768,False,False,0.7281324240298335,622149,196044,63,20,Window_10000,Trend,mean
1088,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-12-07 00:00:00-2000-12-10 00:00:00,2500.0,1533.06,10000,-3.1810329662569186,0.003324573351302398,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
141,2000-11-05 00:00:00-2000-11-08 00:00:00,2500.0,1004.28,10000,2000-11-26 00:00:00-2000-12-13 00:00:00,555.56,1965.97,10000,3.2442724902484934,0.004063567652892665,False,False,0.07709987174354202,622149,196044,63,20,Window_10000,Trend,mean
1082,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-11-22 00:00:00-2000-11-25 00:00:00,2500.0,1708.31,10000,-3.096632157237516,0.004133370331216952,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1128,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-02-18 00:00:00-2001-02-21 00:00:00,2500.0,2125.46,10000,-3.0580073584577843,0.004563031915866968,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1129,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-02-19 00:00:00-2001-02-23 00:00:00,2000.0,1868.07,10000,-3.048464765656699,0.004588279561328197,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1127,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-02-16 00:00:00-2001-02-19 00:00:00,2500.0,2599.55,10000,-2.9059574297168176,0.006702001257579059,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
154,2000-11-05 00:00:00-2000-11-08 00:00:00,2500.0,1004.28,10000,2000-12-31 00:00:00-2001-01-16 00:00:00,588.24,1780.43,10000,3.0421132489420133,0.006705393853124349,False,False,0.43688727610282685,622149,196044,63,20,Window_10000,Trend,mean
1109,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-01-18 00:00:00-2001-01-21 00:00:00,2500.0,1802.52,10000,-2.894643064337489,0.006894247273481448,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1119,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-02-09 00:00:00-2001-02-13 00:00:00,2000.0,2156.49,10000,-2.879568715776706,0.007046043038175177,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1073,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-11-03 00:00:00-2000-11-05 00:00:00,3333.33,2094.35,10000,-2.881336756127284,0.0072474845401652105,False,False,0.6663533091466043,622149,196044,63,20,Window_10000,Trend,mean
1115,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-01-24 00:00:00-2001-01-27 00:00:00,2500.0,1221.32,10000,-2.855865913098458,0.007593249621788295,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
1125,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2001-02-14 00:00:00-2001-02-18 00:00:00,2000.0,1528.95,10000,-2.800671150430142,0.008578162215835343,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
766,2001-01-01 00:00:00-2001-01-22 00:00:00,454.55,1463.46,10000,2000-11-19 00:00:00-2000-11-24 00:00:00,1666.67,1395.34,10000,-2.8324937447340424,0.00880323416488982,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
153,2000-11-05 00:00:00-2000-11-08 00:00:00,2500.0,1004.28,10000,2000-12-29 00:00:00-2001-01-16 00:00:00,526.32,1149.76,10000,2.8855401589813847,0.00884963430729733,False,False,0.0011041318872680984,622149,196044,63,20,Window_10000,Trend,mean
262,2000-11-14 00:00:00-2000-12-05 00:00:00,454.55,1159.93,10000,2000-11-19 00:00:00-2000-11-24 00:00:00,1666.67,1395.34,10000,-2.7882192265965853,0.009777895906071267,False,False,0.7349852214121391,622149,196044,63,20,Window_10000,Trend,mean
577,2000-12-18 00:00:00-2001-01-03 00:00:00,588.24,1453.01,10000,2000-11-19 00:00:00-2000-11-24 00:00:00,1666.67,1395.34,10000,-2.769044790114351,0.011499463055538542,False,False,0.29583902434881637,622149,196044,63,20,Window_10000,Trend,mean
1094,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-12-14 00:00:00-2000-12-17 00:00:00,2500.0,2623.15,10000,-2.6788315726954997,0.011715172713046888,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
778,2001-01-01 00:00:00-2001-01-22 00:00:00,454.55,1463.46,10000,2000-12-14 00:00:00-2000-12-16 00:00:00,3333.33,2327.53,10000,-2.725520270654835,0.012058798378448282,False,False,0.6604458513233891,622149,196044,63,20,Window_10000,Trend,mean
274,2000-11-14 00:00:00-2000-12-05 00:00:00,454.55,1159.93,10000,2000-12-14 00:00:00-2000-12-16 00:00:00,3333.33,2327.53,10000,-2.7212932196088557,0.012175373761290045,False,False,0.13492355198692388,622149,196044,63,20,Window_10000,Trend,mean
1079,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-11-17 00:00:00-2000-11-19 00:00:00,3333.33,2807.65,10000,-2.662954003858961,0.0123337436466762,False,False,0.6663533091466043,622149,196044,63,20,Window_10000,Trend,mean
708,2001-01-01 00:00:00-2001-01-03 00:00:00,3333.33,1737.33,10000,2000-11-26 00:00:00-2000-12-13 00:00:00,555.56,1965.97,10000,2.75257052069263,0.01266418066530228,False,False,0.029940117436413068,622149,196044,63,20,Window_10000,Trend,mean
589,2000-12-18 00:00:00-2001-01-03 00:00:00,588.24,1453.01,10000,2000-12-14 00:00:00-2000-12-16 00:00:00,3333.33,2327.53,10000,-2.741591641847316,0.0134106913501066,False,False,0.027840057496021434,622149,196044,63,20,Window_10000,Trend,mean
787,2001-01-01 00:00:00-2001-01-22 00:00:00,454.55,1463.46,10000,2001-01-10 00:00:00-2001-01-16 00:00:00,1428.57,1181.33,10000,-2.626852703693376,0.014030306292700908,False,False,0.7190427226249021,622149,196044,63,20,Window_10000,Trend,mean
451,2000-12-03 00:00:00-2000-12-18 00:00:00,625.0,1554.24,10000,2000-11-19 00:00:00-2000-11-24 00:00:00,1666.67,1395.34,10000,-2.6381799579955976,0.01576640032689268,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
897,2001-01-22 00:00:00-2001-01-24 00:00:00,3333.33,2478.49,10000,2000-11-26 00:00:00-2000-12-13 00:00:00,555.56,1965.97,10000,2.6492164249862005,0.015827469866762374,False,False,0.029940117436413068,622149,196044,63,20,Window_10000,Trend,mean
283,2000-11-14 00:00:00-2000-12-05 00:00:00,454.55,1159.93,10000,2001-01-10 00:00:00-2001-01-16 00:00:00,1428.57,1181.33,10000,-2.566238892148348,0.01614603011448538,False,False,1.0,622149,196044,63,20,Window_10000,Trend,mean
147,2000-11-05 00:00:00-2000-11-08 00:00:00,2500.0,1004.28,10000,2000-12-01 00:00:00-2000-12-16 00:00:00,625.0,1252.44,10000,2.63271564472927,0.016894332252049088,False,False,0.012615667221804601,622149,196044,63,20,Window_10000,Trend,mean
598,2000-12-18 00:00:00-2001-01-03 00:00:00,588.24,1453.01,10000,2001-01-10 00:00:00-2001-01-16 00:00:00,1428.57,1181.33,10000,-2.5705396956966005,0.017445492851528726,False,False,0.4896965388644088,622149,196044,63,20,Window_10000,Trend,mean
1084,2001-01-29 00:00:00-2001-02-26 00:00:00,344.83,1136.11,10000,2000-11-24 00:00:00-2000-11-26 00:00:00,3333.33,3401.17,10000,-2.50064930852694,0.01808832303594978,False,False,0.6663533091466043,622149,196044,63,20,Window_10000,Trend,mean
463,2000-12-03 00:00:00-2000-12-18 00:00:00,625.0,1554.24,10000,2000-12-14 00:00:00-2000-12-16 00:00:00,3333.33,2327.53,10000,-2.6130344053687686,0.018182890932099897,False,False,0.3924205244765816,622149,196044,63,20,Window_10000,Trend,mean
721,2001-01-01 00:00:00-2001-01-03 00:00:00,3333.33,1737.33,10000,2000-12-31 00:00:00-2001-01-16 00:00:00,588.24,1780.43,10000,2.5780168217634225,0.01895445058000678,False,False,0.2251637309899099,622149,196044,63,20,Window_10000,Trend,mean
