,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
39,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2000-12-07 00:00:00-2000-12-17 00:00:00,6781.18,4476.5,74593,-3.021792734490087,0.006722381910172054,False,True,0.44853195663373213,622149,196044,9,10,Window_2W,Trend,mean
30,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2000-12-07 00:00:00-2000-12-17 00:00:00,6781.18,4476.5,74593,-2.9620205192665257,0.007662334587535251,False,True,0.05620966783119137,622149,196044,9,10,Window_2W,Trend,mean
42,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2001-01-15 00:00:00-2001-01-28 00:00:00,8262.64,6425.73,115677,-2.475294238765,0.020192956912064883,False,True,0.015186198557064538,622149,196044,9,10,Window_2W,Trend,mean
33,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2001-01-15 00:00:00-2001-01-28 00:00:00,8262.64,6425.73,115677,-2.409941266952621,0.02336440735111066,False,True,0.0005883437887651408,622149,196044,9,10,Window_2W,Trend,mean
38,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2000-11-21 00:00:00-2000-12-03 00:00:00,6340.54,5495.83,82427,-2.3469242781496207,0.02790424861193767,False,True,0.44853195663373213,622149,196044,9,10,Window_2W,Trend,mean
29,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2000-11-21 00:00:00-2000-12-03 00:00:00,6340.54,5495.83,82427,-2.289382817209654,0.031520847277019357,False,True,0.05620966783119137,622149,196044,9,10,Window_2W,Trend,mean
43,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2001-01-29 00:00:00-2001-02-11 00:00:00,4519.64,4787.48,63275,-1.991642610631607,0.05821566016582139,False,True,0.7054569861112734,622149,196044,9,10,Window_2W,Trend,mean
36,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-2.276452118310406,0.06429320112834296,False,False,0.693281817504481,622149,196044,9,10,Window_2W,Trend,mean
34,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2001-01-29 00:00:00-2001-02-11 00:00:00,4519.64,4787.48,63275,-1.938615175281325,0.0646589247504197,False,True,0.12166757133123071,622149,196044,9,10,Window_2W,Trend,mean
37,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2000-11-10 00:00:00-2000-11-19 00:00:00,5497.8,5417.92,54978,-1.969735431106811,0.067438211901124,False,True,1.0,622149,196044,9,10,Window_2W,Trend,mean
27,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-2.2382148075241126,0.06747441580975024,False,False,1.0,622149,196044,9,10,Window_2W,Trend,mean
28,2000-12-04 00:00:00-2000-12-17 00:00:00,1707.71,3945.79,23908,2000-11-10 00:00:00-2000-11-19 00:00:00,5497.8,5417.92,54978,-1.9234111195072912,0.07332176072010649,False,True,0.4183410891002267,622149,196044,9,10,Window_2W,Trend,mean
44,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2001-02-12 00:00:00-2001-02-25 00:00:00,7145.79,2239.65,100041,-1.817298889804374,0.08073879791634943,False,False,0.015186198557064538,622149,196044,9,10,Window_2W,Trend,mean
41,2000-12-18 00:00:00-2000-12-31 00:00:00,1483.86,3582.95,20774,2001-01-05 00:00:00-2001-01-14 00:00:00,5821.6,4146.36,58216,-1.7845807351480212,0.09020900850962008,False,False,0.44853195663373213,622149,196044,9,10,Window_2W,Trend,mean
