,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
0,2000-11-05 00:00:00-2000-12-05 00:00:00,2334.0,3810.92,72354,2000-11-01 00:00:00-2000-12-03 00:00:00,5412.06,5356.96,178598,-2.4681499507582245,0.01647758890519836,False,False,0.04848521097292343,622149,196044,4,4,Window_35D,Trend,mean
2,2000-11-05 00:00:00-2000-12-05 00:00:00,2334.0,3810.92,72354,2001-01-10 00:00:00-2001-02-13 00:00:00,6541.49,5551.06,228952,-2.328134377407646,0.0231198687629019,False,False,0.0001181386775489568,622149,196044,4,4,Window_35D,Trend,mean
1,2000-11-05 00:00:00-2000-12-05 00:00:00,2334.0,3810.92,72354,2000-12-07 00:00:00-2001-01-09 00:00:00,3670.32,4173.71,124791,-1.5066487116143512,0.13691108255424486,False,True,0.015249201769066571,622149,196044,4,4,Window_35D,Trend,mean
4,2000-12-17 00:00:00-2001-01-03 00:00:00,2933.89,4810.08,52810,2000-11-01 00:00:00-2000-12-03 00:00:00,5412.06,5356.96,178598,-1.3385745602348789,0.18939432495437308,False,False,0.026090668481125488,622149,196044,4,4,Window_35D,Trend,mean
3,2000-11-05 00:00:00-2000-12-05 00:00:00,2334.0,3810.92,72354,2001-02-14 00:00:00-2001-02-25 00:00:00,7484.0,2237.46,89808,-1.2356878796310238,0.23250108523741697,False,False,1.0,622149,196044,4,4,Window_35D,Trend,mean
6,2000-12-17 00:00:00-2001-01-03 00:00:00,2933.89,4810.08,52810,2001-01-10 00:00:00-2001-02-13 00:00:00,6541.49,5551.06,228952,-1.0577911599482723,0.29940467415053074,False,False,4.5271057232494007e-05,622149,196044,4,4,Window_35D,Trend,mean
8,2001-01-22 00:00:00-2001-01-30 00:00:00,5386.44,6671.94,48478,2000-11-01 00:00:00-2000-12-03 00:00:00,5412.06,5356.96,178598,-0.7341231840317844,0.4754099913060552,False,False,0.0010569766909332883,622149,196044,4,4,Window_35D,Trend,mean
7,2000-12-17 00:00:00-2001-01-03 00:00:00,2933.89,4810.08,52810,2001-02-14 00:00:00-2001-02-25 00:00:00,7484.0,2237.46,89808,-0.5810161508681233,0.5662096467567314,False,False,1.0,622149,196044,4,4,Window_35D,Trend,mean
5,2000-12-17 00:00:00-2001-01-03 00:00:00,2933.89,4810.08,52810,2000-12-07 00:00:00-2001-01-09 00:00:00,3670.32,4173.71,124791,-0.5492522646066675,0.5868008512174321,False,True,0.007528397226417313,622149,196044,4,4,Window_35D,Trend,mean
10,2001-01-22 00:00:00-2001-01-30 00:00:00,5386.44,6671.94,48478,2001-01-10 00:00:00-2001-02-13 00:00:00,6541.49,5551.06,228952,-0.45475904037772985,0.6581557840691891,False,False,5.113341978134431e-07,622149,196044,4,4,Window_35D,Trend,mean
13,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-07 00:00:00-2001-01-09 00:00:00,3670.32,4173.71,124791,0.22163832027996058,0.8443097857148312,False,True,1.4253089458785621e-06,622149,196044,4,4,Window_35D,Trend,mean
11,2001-01-22 00:00:00-2001-01-30 00:00:00,5386.44,6671.94,48478,2001-02-14 00:00:00-2001-02-25 00:00:00,7484.0,2237.46,89808,-0.1670152850360444,0.8693682007323097,False,False,0.07243809925044652,622149,196044,4,4,Window_35D,Trend,mean
15,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-02-14 00:00:00-2001-02-25 00:00:00,7484.0,2237.46,89808,0.17116407416093118,0.8781308133280792,False,False,0.0010477304368441858,622149,196044,4,4,Window_35D,Trend,mean
14,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-10 00:00:00-2001-02-13 00:00:00,6541.49,5551.06,228952,0.08664691408083773,0.9385996515436456,False,False,1.5596488708189704e-09,622149,196044,4,4,Window_35D,Trend,mean
9,2001-01-22 00:00:00-2001-01-30 00:00:00,5386.44,6671.94,48478,2000-12-07 00:00:00-2001-01-09 00:00:00,3670.32,4173.71,124791,-0.059915945738916766,0.9532047848951731,False,True,0.0002189881814887243,622149,196044,4,4,Window_35D,Trend,mean
12,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-01 00:00:00-2000-12-03 00:00:00,5412.06,5356.96,178598,-0.024364850753244693,0.9826512808917488,False,False,9.038611911281896e-06,622149,196044,4,4,Window_35D,Trend,mean
