,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
11,2001-01-01 00:00:00-2001-01-30 00:00:00,2220.93,4649.79,66628,2001-02-01 00:00:00-2001-02-25 00:00:00,6341.4,3740.7,158535,-5.444503533813863,2.1369596624317073e-06,False,True,0.004508698364904238,622149,196044,4,4,Window_M,Trend,mean
7,2000-12-03 00:00:00-2000-12-31 00:00:00,1973.93,4165.12,57244,2001-02-01 00:00:00-2001-02-25 00:00:00,6341.4,3740.7,158535,-4.3413632999796725,6.675272646371182e-05,False,True,0.008478490721758937,622149,196044,4,4,Window_M,Trend,mean
10,2001-01-01 00:00:00-2001-01-30 00:00:00,2220.93,4649.79,66628,2001-01-05 00:00:00-2001-01-29 00:00:00,7146.96,5523.02,178674,-3.5095932211807384,0.0009955353976312787,False,False,0.0002801503699595409,622149,196044,4,4,Window_M,Trend,mean
8,2001-01-01 00:00:00-2001-01-30 00:00:00,2220.93,4649.79,66628,2000-11-01 00:00:00-2000-11-26 00:00:00,5821.81,5392.47,151367,-3.3803278398857644,0.0015862955828377595,False,True,0.0682011645650359,622149,196044,4,4,Window_M,Trend,mean
9,2001-01-01 00:00:00-2001-01-30 00:00:00,2220.93,4649.79,66628,2000-12-01 00:00:00-2000-12-31 00:00:00,4308.81,4677.47,133573,-2.804293739863979,0.00706903579679269,False,True,0.010918224330576529,622149,196044,4,4,Window_M,Trend,mean
4,2000-12-03 00:00:00-2000-12-31 00:00:00,1973.93,4165.12,57244,2000-11-01 00:00:00-2000-11-26 00:00:00,5821.81,5392.47,151367,-2.631545780857346,0.011280325607016455,False,True,0.11423568071336976,622149,196044,4,4,Window_M,Trend,mean
6,2000-12-03 00:00:00-2000-12-31 00:00:00,1973.93,4165.12,57244,2001-01-05 00:00:00-2001-01-29 00:00:00,7146.96,5523.02,178674,-2.567079782331172,0.01317310527755432,False,False,0.000528518747278666,622149,196044,4,4,Window_M,Trend,mean
3,2000-11-05 00:00:00-2000-11-17 00:00:00,3828.46,4141.39,49770,2001-02-01 00:00:00-2001-02-25 00:00:00,6341.4,3740.7,158535,-2.3527329641078816,0.026831993937963376,False,True,0.0005851420244320566,622149,196044,4,4,Window_M,Trend,mean
5,2000-12-03 00:00:00-2000-12-31 00:00:00,1973.93,4165.12,57244,2000-12-01 00:00:00-2000-12-31 00:00:00,4308.81,4677.47,133573,-2.0446940345501887,0.045442972454918476,False,True,0.022184583628535835,622149,196044,4,4,Window_M,Trend,mean
0,2000-11-05 00:00:00-2000-11-17 00:00:00,3828.46,4141.39,49770,2000-11-01 00:00:00-2000-11-26 00:00:00,5821.81,5392.47,151367,-1.0744766492911861,0.29151107926547476,False,True,0.026388661189345484,622149,196044,4,4,Window_M,Trend,mean
2,2000-11-05 00:00:00-2000-11-17 00:00:00,3828.46,4141.39,49770,2001-01-05 00:00:00-2001-01-29 00:00:00,7146.96,5523.02,178674,-0.8133483109080896,0.4244411050349032,False,False,9.896734625245616e-06,622149,196044,4,4,Window_M,Trend,mean
1,2000-11-05 00:00:00-2000-11-17 00:00:00,3828.46,4141.39,49770,2000-12-01 00:00:00-2000-12-31 00:00:00,4308.81,4677.47,133573,-0.49187046083701,0.6268265831839448,False,True,0.00499775128180146,622149,196044,4,4,Window_M,Trend,mean
15,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-02-01 00:00:00-2001-02-25 00:00:00,6341.4,3740.7,158535,-0.4542281892963052,0.6918812062075299,False,True,3.263814286724997e-07,622149,196044,4,4,Window_M,Trend,mean
12,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-11-01 00:00:00-2000-11-26 00:00:00,5821.81,5392.47,151367,-0.10199817480814677,0.927407249191377,False,True,5.535793859710824e-05,622149,196044,4,4,Window_M,Trend,mean
13,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2000-12-01 00:00:00-2000-12-31 00:00:00,4308.81,4677.47,133573,0.08391267929007903,0.9403346017064744,False,True,6.411122738787491e-06,622149,196044,4,4,Window_M,Trend,mean
14,2001-02-25 00:00:00-2001-02-27 00:00:00,7467.33,4717.39,22402,2001-01-05 00:00:00-2001-01-29 00:00:00,7146.96,5523.02,178674,0.0007809239477290515,0.9994447640723487,False,False,2.7737911978167587e-09,622149,196044,4,4,Window_M,Trend,mean
