,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test
153,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-1.1978663104732397,0.26203430332864375,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
102,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-11-01 00:00:00-2000-11-05 00:00:00,8238.6,4847.42,41193,-1.2094654389491784,0.26223485490988424,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
116,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,-0.9870396087836798,0.38250546257649426,False,False,0.5186050164287255,622149,196044,17,18,Window_W,Trend,mean
109,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-12-22 00:00:00-2000-12-24 00:00:00,779.67,288.09,2339,-0.9856909264773198,0.38306780040250504,False,False,0.5186050164287255,622149,196044,17,18,Window_W,Trend,mean
111,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2001-01-05 00:00:00-2001-01-07 00:00:00,3246.33,1914.15,9739,-0.9789908117279149,0.38587703841708326,False,False,0.5186050164287255,622149,196044,17,18,Window_W,Trend,mean
115,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2001-01-29 00:00:00-2001-02-04 00:00:00,5143.14,4606.86,36002,-0.8960918282082893,0.3961582605342143,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
106,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,-0.9286905004161782,0.40777933594737775,False,False,0.5186050164287255,622149,196044,17,18,Window_W,Trend,mean
103,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,-0.9165285788642573,0.4132853824686176,False,False,0.5186050164287255,622149,196044,17,18,Window_W,Trend,mean
107,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,-0.8664105682418444,0.41763737885683405,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
105,2000-12-18 00:00:00-2000-12-22 00:00:00,1612.6,2405.29,8063,2000-11-21 00:00:00-2000-11-26 00:00:00,9199.33,4486.12,55196,-0.8463832882926511,0.42118471375383293,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
166,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2001-01-29 00:00:00-2001-02-04 00:00:00,5143.14,4606.86,36002,-0.8279289280161901,0.42392737342839126,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
33,2000-11-06 00:00:00-2000-11-08 00:00:00,5453.0,1363.44,16359,2001-02-19 00:00:00-2001-02-25 00:00:00,7682.43,2632.86,53777,0.9082357106517988,0.42987295071525944,False,False,0.10519250512004134,622149,196044,17,18,Window_W,Trend,mean
167,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2001-02-09 00:00:00-2001-02-11 00:00:00,9091.0,3427.79,27273,-0.9121418425736967,0.430446153301464,False,False,0.5891544654500582,622149,196044,17,18,Window_W,Trend,mean
160,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-12-22 00:00:00-2000-12-24 00:00:00,779.67,288.09,2339,-0.9106777322316592,0.4310860011698638,False,False,0.5891544654500582,622149,196044,17,18,Window_W,Trend,mean
162,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2001-01-05 00:00:00-2001-01-07 00:00:00,3246.33,1914.15,9739,-0.9034019145175597,0.4342828384574012,False,False,0.5891544654500582,622149,196044,17,18,Window_W,Trend,mean
157,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-12-01 00:00:00-2000-12-03 00:00:00,9077.0,3841.44,27231,-0.8486803467156318,0.45922746013431215,False,False,0.5891544654500582,622149,196044,17,18,Window_W,Trend,mean
156,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-11-21 00:00:00-2000-11-26 00:00:00,9199.33,4486.12,55196,-0.7642408503660838,0.46177896349829517,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
154,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-11-10 00:00:00-2000-11-12 00:00:00,10382.0,3378.8,31146,-0.8354295943685937,0.46550298345543856,False,False,0.5891544654500582,622149,196044,17,18,Window_W,Trend,mean
158,2001-01-22 00:00:00-2001-01-28 00:00:00,5602.57,7687.67,39218,2000-12-07 00:00:00-2000-12-10 00:00:00,8296.0,3362.8,33184,-0.7802459212388287,0.4692565275771896,False,False,1.0,622149,196044,17,18,Window_W,Trend,mean
27,2000-11-06 00:00:00-2000-11-08 00:00:00,5453.0,1363.44,16359,2001-01-08 00:00:00-2001-01-14 00:00:00,6925.29,4453.08,48477,0.8048470552293674,0.4788986068414484,False,False,0.10519250512004134,622149,196044,17,18,Window_W,Trend,mean
29,2000-11-06 00:00:00-2000-11-08 00:00:00,5453.0,1363.44,16359,2001-01-22 00:00:00-2001-01-28 00:00:00,5984.71,6956.16,41893,0.7918375889141444,0.49040005708716533,False,False,0.10519250512004134,622149,196044,17,18,Window_W,Trend,mean
